#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:29:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf2809ea7aa	
#INFO	-out.max=9999	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=9999
#-order=I
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1b}&key:source=J/A+A/616/A10/tablea1b&HTTPPRM:&&-ref=VIZ5bf2809ea7aa&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/A+A/616/A10/tablea1b&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Source&-out=Cluster&Cluster=NGC2168&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/A+A/616/A10/tablea1b
#-source=J/A+A/616/A10/tablea1b
#-out=Source
#-out=Cluster
#Cluster=NGC2168
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1b:
#Name: J/A+A/616/A10/tablea1b
#Title: Stars in 37 open clusters beyond 250pc
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
 	 	deg	deg	mag	deg	deg
   3426344764939360512	NGC2168 	091.68259	+24.60239	13.889	091.68259	+24.60239
   3426389982354806272	NGC2168 	092.21685	+25.13768	15.053	092.21685	+25.13768
   3426337858632331264	NGC2168 	091.87297	+24.57039	17.243	091.87297	+24.57039
   3426348849453551744	NGC2168 	091.60727	+24.65731	19.676	091.60727	+24.65731
   3426336995341185408	NGC2168 	091.95722	+24.62652	16.347	091.95722	+24.62652
   3426393379674249088	NGC2168 	092.17041	+25.18441	18.655	092.17041	+25.18441
   3426363422277492096	NGC2168 	092.15337	+24.78880	13.462	092.15337	+24.78880
   3426365685723099648	NGC2168 	091.96163	+24.80556	18.433	091.96163	+24.80556
   3426338266651429888	NGC2168 	091.89141	+24.59345	15.858	091.89141	+24.59345
   3426365655660528512	NGC2168 	091.98938	+24.81534	15.245	091.98938	+24.81534
   3426373455321033344	NGC2168 	092.24046	+24.92641	13.283	092.24046	+24.92641
   3426337480675112320	NGC2168 	092.01743	+24.66668	17.271	092.01743	+24.66668
   3426341702625582592	NGC2168 	091.95733	+24.74211	16.257	091.95733	+24.74211
   3426335036835974016	NGC2168 	091.92062	+24.56948	17.939	091.92062	+24.56948
   3426369980692067584	NGC2168 	092.21405	+24.87888	16.718	092.21405	+24.87888
   3426335895829504256	NGC2168 	091.99896	+24.60192	19.654	091.99896	+24.60192
   3426351460794236288	NGC2168 	091.80255	+24.68453	18.863	091.80255	+24.68453
   3426354965484781184	NGC2168 	091.86376	+24.83316	19.748	091.86376	+24.83316
   3426391661685778688	NGC2168 	091.96457	+25.09248	16.674	091.96457	+25.09248
   3426353835910196224	NGC2168 	091.92839	+24.78801	12.070	091.92839	+24.78801
   3426381151902127744	NGC2168 	092.02341	+24.95605	14.478	092.02341	+24.95605
   3426345516554919680	NGC2168 	091.62779	+24.62142	18.231	091.62779	+24.62142
   3426338988209340160	NGC2168 	091.83409	+24.62127	19.062	091.83409	+24.62127
   3426363589780653824	NGC2168 	092.20460	+24.81020	13.431	092.20460	+24.81020
   3426376685136407424	NGC2168 	092.23615	+25.05353	13.625	092.23615	+25.05353
   3426383415346764416	NGC2168 	091.83448	+24.97476	12.747	091.83448	+24.97476
   3426354484448320768	NGC2168 	091.77276	+24.77619	17.386	091.77276	+24.77619
   3426378501905627264	NGC2168 	091.88743	+24.86320	17.417	091.88743	+24.86320
   3426379674433382144	NGC2168 	092.05995	+24.91048	12.463	092.05995	+24.91048
   3426336479944164864	NGC2168 	092.06438	+24.63791	12.002	092.06438	+24.63791
   3426360261181602816	NGC2168 	092.14644	+24.67752	15.633	092.14644	+24.67752
   3426354316943565056	NGC2168 	091.80787	+24.77822	19.615	091.80787	+24.77822
   3426358989870980224	NGC2168 	091.68688	+24.88418	13.970	091.68688	+24.88418
   3426366269838774784	NGC2168 	092.02009	+24.86443	18.749	092.02009	+24.86443
   3426336033267567616	NGC2168 	092.01480	+24.61136	10.308	092.01480	+24.61136
   3426379949311292160	NGC2168 	092.03092	+24.92681	16.891	092.03092	+24.92681
   3426367953466000512	NGC2168 	092.10900	+24.88371	16.633	092.10900	+24.88371
   3426336445584427008	NGC2168 	092.04660	+24.62941	11.262	092.04660	+24.62941
   3426350567436552960	NGC2168 	091.60049	+24.74885	18.899	091.60049	+24.74885
   3426382728153634688	NGC2168 	091.88267	+24.97173	19.239	091.88267	+24.97173
   3426360222524463744	NGC2168 	092.10955	+24.68979	16.167	092.10955	+24.68979
   3426336827840104192	NGC2168 	091.98934	+24.63380	16.700	091.98934	+24.63380
   3426336209364790144	NGC2168 	092.08539	+24.61054	12.762	092.08539	+24.61054
   3426374584897077120	NGC2168 	092.20693	+24.97972	17.760	092.20693	+24.97972
   3426351220272946432	NGC2168 	091.74387	+24.66968	19.534	091.74387	+24.66968
   3426335934486908416	NGC2168 	092.03110	+24.59330	16.697	092.03110	+24.59330
   3426349399205420544	NGC2168 	091.65157	+24.70199	18.361	091.65157	+24.70199
   3426360875359469440	NGC2168 	092.05719	+24.68062	17.821	092.05719	+24.68062
   3426338786345218560	NGC2168 	091.89340	+24.65822	16.814	091.89340	+24.65822
   3426368193984251648	NGC2168 	092.12994	+24.93040	18.229	092.12994	+24.93040
   3426360016365983872	NGC2168 	092.09314	+24.66892	19.261	092.09314	+24.66892
   3426344318262780160	NGC2168 	091.67256	+24.54719	16.370	091.67256	+24.54719
   3426349742802821376	NGC2168 	091.62338	+24.72913	17.770	091.62338	+24.72913
   3426354282586829056	NGC2168 	091.79920	+24.76561	14.651	091.79920	+24.76561
   3426359913286764928	NGC2168 	092.12516	+24.66626	18.443	092.12516	+24.66626
   3426394754059862144	NGC2168 	092.10251	+25.25075	12.002	092.10251	+25.25075
   3426364276973704448	NGC2168 	092.04604	+24.74635	17.396	092.04604	+24.74635
   3426377887727024256	NGC2168 	091.98917	+24.84609	15.346	091.98917	+24.84609
   3426371767398531968	NGC2168 	092.41945	+24.98429	18.670	092.41945	+24.98429
   3426340431315157760	NGC2168 	091.93689	+24.69208	19.680	091.93689	+24.69208
   3426354828045788416	NGC2168 	091.83467	+24.81465	17.679	091.83467	+24.81465
   3426335590889541888	NGC2168 	092.01404	+24.56945	16.580	092.01404	+24.56945
   3426358405755414912	NGC2168 	091.76653	+24.87126	12.989	091.76653	+24.87126
   3426341530826864896	NGC2168 	091.88408	+24.73223	18.173	091.88408	+24.73223
   3426345795731522048	NGC2168 	091.60264	+24.63486	12.957	091.60264	+24.63486
   3426360840999756544	NGC2168 	092.08195	+24.69092	18.565	092.08195	+24.69092
   3426336479945138432	NGC2168 	092.06048	+24.63825	19.253	092.06048	+24.63825
   3426336621681695232	NGC2168 	091.97731	+24.59718	17.097	091.97731	+24.59718
   3426376680844781312	NGC2168 	092.23742	+25.05415	15.966	092.23742	+25.05415
   3426335900127186176	NGC2168 	091.99260	+24.59087	15.385	091.99260	+24.59087
   3426378093885441024	NGC2168 	092.00595	+24.88055	14.370	092.00595	+24.88055
   3426381834800326528	NGC2168 	091.87486	+24.90269	19.094	091.87486	+24.90269
   3426361601211375488	NGC2168 	092.13232	+24.75255	16.632	092.13232	+24.75255
   3426361532491897344	NGC2168 	092.13849	+24.75121	16.286	092.13849	+24.75121
   3426364281270998400	NGC2168 	092.05652	+24.74802	13.023	092.05652	+24.74802
   3426381869160073856	NGC2168 	091.88212	+24.90816	17.050	091.88212	+24.90816
   3426387336655003136	NGC2168 	092.07944	+25.02609	12.666	092.07944	+25.02609
   3426361390755650048	NGC2168 	092.12244	+24.72769	15.750	092.12244	+24.72769
   3426338713328149376	NGC2168 	091.89592	+24.65060	17.476	091.89592	+24.65060
   3426371668614587264	NGC2168 	092.41888	+24.96440	16.082	092.41888	+24.96440
   3426351293289623296	NGC2168 	091.73162	+24.68020	14.189	091.73162	+24.68020
   3426340504332087552	NGC2168 	091.99263	+24.69168	14.433	091.99263	+24.69168
   3426367506797508736	NGC2168 	092.07000	+24.85508	18.002	092.07000	+24.85508
   3426361665633590528	NGC2168 	092.10689	+24.74585	17.497	092.10689	+24.74585
   3426391631622302080	NGC2168 	091.99298	+25.09501	16.973	091.99298	+25.09501
   3426383380990358016	NGC2168 	091.85695	+24.97146	19.605	091.85695	+24.97146
   3426359780145292544	NGC2168 	092.10723	+24.64502	14.735	092.10723	+24.64502
   3426358611913865600	NGC2168 	091.70773	+24.84103	12.934	091.70773	+24.84103
   3426349437863762304	NGC2168 	091.66016	+24.70023	17.346	091.66016	+24.70023
   3426338648906286720	NGC2168 	091.86272	+24.63845	14.416	091.86272	+24.63845
   3426385305134100992	NGC2168 	091.87939	+25.03282	19.027	091.87939	+25.03282
   3426359741488035584	NGC2168 	092.12080	+24.64784	18.770	092.12080	+24.64784
   3426362941241126528	NGC2168 	092.23787	+24.80611	11.621	092.23787	+24.80611
   3426353354873881216	NGC2168 	091.86762	+24.75034	15.126	091.86762	+24.75034
   3426371629959569536	NGC2168 	092.39222	+24.96710	18.767	092.39222	+24.96710
   3426360978438751104	NGC2168 	092.09210	+24.71075	18.114	092.09210	+24.71075
   3426369538310849536	NGC2168 	092.31465	+24.89308	16.554	092.31465	+24.89308
   3426377745991356416	NGC2168 	091.94904	+24.84825	15.521	091.94904	+24.84825
   3426335139915203072	NGC2168 	091.96537	+24.57477	17.960	091.96537	+24.57477
   3426365032888056320	NGC2168 	092.04617	+24.79690	16.795	092.04617	+24.79690
   3425840325323522944	NGC2168 	093.53882	+24.24020	18.026	093.53882	+24.24020
   3425258992909827456	NGC2168 	093.39455	+23.74211	17.689	093.39455	+23.74211
   3425259267787321344	NGC2168 	093.33204	+23.71922	16.784	093.33204	+23.71922
   3425312559742560768	NGC2168 	092.47669	+23.27013	18.091	092.47669	+23.27013
   3425256209771805952	NGC2168 	093.25260	+23.60694	19.277	093.25260	+23.60694
   3425319569126886016	NGC2168 	092.63571	+23.32310	11.916	092.63571	+23.32310
   3425309226848749952	NGC2168 	092.41408	+23.13997	16.710	092.41408	+23.13997
   3425312800260756480	NGC2168 	092.44289	+23.28116	18.149	092.44289	+23.28116
   3425314690047302656	NGC2168 	092.62961	+23.25626	18.723	092.62961	+23.25626
   3425301328404345472	NGC2168 	091.98745	+23.17474	15.170	091.98745	+23.17474
   3425265869153658240	NGC2168 	093.41563	+23.81354	17.285	093.41563	+23.81354
   3425311769468543872	NGC2168 	092.51859	+23.25733	19.500	092.51859	+23.25733
   3425317919861794816	NGC2168 	092.58633	+23.29143	18.818	092.58633	+23.29143
   3425318607056614272	NGC2168 	092.52545	+23.31045	18.783	092.52545	+23.31045
   3425319122452780032	NGC2168 	092.54368	+23.34737	19.197	092.54368	+23.34737
   3426966916724139904	NGC2168 	092.26463	+25.47080	15.953	092.26463	+25.47080
   3426963205872449920	NGC2168 	092.06491	+25.46089	16.513	092.06491	+25.46089
   3426959872977834112	NGC2168 	092.08474	+25.42197	13.311	092.08474	+25.42197
   3425936738750201216	NGC2168 	093.08636	+24.87891	18.522	093.08636	+24.87891
   3425959931580266112	NGC2168 	093.26241	+24.92654	18.288	093.26241	+24.92654
   3425935570519042688	NGC2168 	093.14134	+24.82638	18.513	093.14134	+24.82638
   3425929282686437888	NGC2168 	093.21729	+24.69224	12.618	093.21729	+24.69224
   3425931829601926144	NGC2168 	093.27337	+24.80550	14.464	093.27337	+24.80550
   3425934711525580032	NGC2168 	093.03118	+24.82258	15.234	093.03118	+24.82258
   3425931756588039296	NGC2168 	093.28346	+24.79109	18.093	093.28346	+24.79109
   3425934711525580544	NGC2168 	093.02902	+24.82232	18.316	093.02902	+24.82232
   3425928153110006528	NGC2168 	092.98451	+24.71290	17.200	092.98451	+24.71290
   3425933715093100544	NGC2168 	093.10873	+24.76837	19.063	093.10873	+24.76837
   3425934372222614144	NGC2168 	093.06909	+24.78918	15.835	093.06909	+24.78918
   3425960721847632896	NGC2168 	093.22601	+24.94425	18.861	093.22601	+24.94425
   3425230474327859584	NGC2168 	093.11693	+23.51717	19.261	093.11693	+23.51717
   3425230062010996480	NGC2168 	093.11498	+23.47420	18.871	093.11498	+23.47420
   3425229546614667648	NGC2168 	093.09258	+23.43416	19.270	093.09258	+23.43416
   3426161176561781120	NGC2168 	091.95767	+23.98980	13.665	091.95767	+23.98980
   3426156606713493120	NGC2168 	091.70622	+23.88991	18.954	091.70622	+23.88991
   3426160321864368640	NGC2168 	092.09501	+23.96512	13.765	092.09501	+23.96512
   3426173752225426944	NGC2168 	091.62708	+24.05240	17.579	091.62708	+24.05240
   3426168598262226432	NGC2168 	091.67910	+23.92087	16.391	091.67910	+23.92087
   3426182548319621376	NGC2168 	091.80579	+24.22272	18.873	091.80579	+24.22272
   3426162142930628864	NGC2168 	091.81376	+23.92511	16.160	091.81376	+23.92511
   3426161863753205888	NGC2168 	091.83086	+23.90615	12.925	091.83086	+23.90615
   3426181689326024448	NGC2168 	091.75890	+24.16280	18.455	091.75890	+24.16280
   3426166025580946048	NGC2168 	091.91235	+24.10687	11.982	091.91235	+24.10687
   3426170900366800000	NGC2168 	091.48303	+23.93580	18.479	091.48303	+23.93580
   3426163242442256384	NGC2168 	091.76751	+23.96928	17.202	091.76751	+23.96928
   3426177604812184320	NGC2168 	091.85169	+24.10409	14.283	091.85169	+24.10409
   3426157160768577792	NGC2168 	091.74758	+23.92264	17.458	091.74758	+23.92264
   3426172343476012032	NGC2168 	091.49485	+24.00268	17.991	091.49485	+24.00268
   3426170389267283968	NGC2168 	091.63052	+24.00611	16.785	091.63052	+24.00611
   3426187053740674560	NGC2168 	091.18028	+23.83357	18.275	091.18028	+23.83357
   3426165578904396800	NGC2168 	091.88191	+24.06898	10.751	091.88191	+24.06898
   3426192997975375104	NGC2168 	091.22982	+23.86296	17.128	091.22982	+23.86296
   3426177772315408768	NGC2168 	091.90372	+24.11390	11.946	091.90372	+24.11390
   3426182140297627776	NGC2168 	091.79890	+24.17842	14.994	091.79890	+24.17842
   3426174168838540672	NGC2168 	091.51698	+24.04180	18.923	091.51698	+24.04180
   3426177463077967488	NGC2168 	091.81951	+24.08071	18.768	091.81951	+24.08071
   3426166090004627712	NGC2168 	091.93828	+24.11544	15.284	091.93828	+24.11544
   3426165063508258560	NGC2168 	091.97598	+24.08691	18.651	091.97598	+24.08691
   3426181551887111296	NGC2168 	091.66689	+24.19822	18.977	091.66689	+24.19822
   3426165505889001344	NGC2168 	091.89109	+24.06876	19.489	091.89109	+24.06876
   3426166158724121344	NGC2168 	091.93290	+24.12710	19.019	091.93290	+24.12710
   3426164784334487552	NGC2168 	092.00699	+24.06180	19.359	092.00699	+24.06180
   3426156915951167232	NGC2168 	091.74888	+23.90937	19.079	091.74888	+23.90937
   3426164956133180800	NGC2168 	091.98323	+24.06247	14.419	091.98323	+24.06247
   3426213923055969280	NGC2168 	091.10384	+24.15101	16.955	091.10384	+24.15101
   3426182823197435008	NGC2168 	091.73182	+24.19989	16.473	091.73182	+24.19989
   3426164341954234368	NGC2168 	091.90267	+24.00956	14.469	091.90267	+24.00956
   3426181762340514688	NGC2168 	091.79242	+24.17203	16.689	091.79242	+24.17203
   3426158084182239616	NGC2168 	091.99808	+23.87845	15.537	091.99808	+23.87845
   3426214434153778944	NGC2168 	091.14698	+24.18722	18.731	091.14698	+24.18722
   3426187599199376896	NGC2168 	091.09675	+23.84338	17.598	091.09675	+23.84338
   3426181624901595392	NGC2168 	091.76962	+24.15095	14.448	091.76962	+24.15095
   3426183514687154304	NGC2168 	091.73379	+24.24995	15.780	091.73379	+24.24995
   3426192688737743616	NGC2168 	091.22463	+23.83473	16.531	091.22463	+23.83473
   3426172175974540416	NGC2168 	091.43063	+23.99196	17.019	091.43063	+23.99196
   3426164372017558528	NGC2168 	091.91443	+24.02571	18.490	091.91443	+24.02571
   3426204164889816192	NGC2168 	091.02074	+23.94973	17.673	091.02074	+23.94973
   3426159630373560192	NGC2168 	092.02908	+23.90795	16.492	092.02908	+23.90795
   3426165643327937408	NGC2168 	091.93231	+24.05884	19.276	091.93231	+24.05884
   3426169044938856192	NGC2168 	091.71401	+23.94966	18.571	091.71401	+23.94966
   3426159222352834048	NGC2168 	091.96951	+23.92564	16.421	091.96951	+23.92564
   3426159875187854336	NGC2168 	092.00221	+23.91974	14.606	092.00221	+23.91974
   3426159767812523904	NGC2168 	092.05009	+23.92701	14.661	092.05009	+23.92701
   3426169942590687616	NGC2168 	091.63900	+23.99545	15.979	091.63900	+23.99545
   3426193650810364160	NGC2168 	091.27385	+23.92532	18.417	091.27385	+23.92532
   3426182346456026368	NGC2168 	091.81294	+24.21743	14.433	091.81294	+24.21743
   3426177467373263360	NGC2168 	091.82616	+24.08838	14.211	091.82616	+24.08838
   3426180452379652736	NGC2168 	091.71067	+24.16619	18.420	091.71067	+24.16619
   3426165402809750656	NGC2168 	091.88793	+24.04983	17.892	091.88793	+24.04983
   3426160180129396736	NGC2168 	092.06856	+23.94719	16.750	092.06856	+23.94719
   3426175749386993536	NGC2168 	091.81645	+24.05146	13.280	091.81645	+24.05146
   3426168598262240640	NGC2168 	091.68652	+23.93342	18.639	091.68652	+23.93342
   3426164822990124928	NGC2168 	091.95413	+24.03406	17.227	091.95413	+24.03406
   3426182449535250688	NGC2168 	091.79510	+24.21829	14.864	091.79510	+24.21829
   3426164101435660800	NGC2168 	091.93263	+24.00810	14.091	091.93263	+24.00810
   3426183239809245056	NGC2168 	091.76616	+24.22435	13.110	091.76616	+24.22435
   3426166609696173312	NGC2168 	091.57561	+23.85743	15.476	091.57561	+23.85743
   3426175779450585728	NGC2168 	091.82326	+24.06770	12.848	091.82326	+24.06770
   3426165677687712384	NGC2168 	091.94802	+24.07842	17.028	091.94802	+24.07842
   3426162654030531200	NGC2168 	091.87536	+23.97561	12.422	091.87536	+23.97561
   3426194505506982912	NGC2168 	091.20872	+23.91284	18.695	091.20872	+23.91284
   3425927358541410304	NGC2168 	093.01327	+24.70598	18.004	093.01327	+24.70598
   3425926705706316544	NGC2168 	093.00669	+24.66250	18.736	093.00669	+24.66250
   3425910625348624384	NGC2168 	093.14530	+24.56553	18.632	093.14530	+24.56553
   3425902550810915456	NGC2168 	093.18160	+24.34847	17.407	093.18160	+24.34847
   3425863449425648256	NGC2168 	093.50511	+24.45477	13.938	093.50511	+24.45477
   3425925954086795264	NGC2168 	092.89207	+24.63533	16.388	092.89207	+24.63533
   3425921830918190080	NGC2168 	092.96311	+24.57551	15.375	092.96311	+24.57551
   3425859326256913536	NGC2168 	093.57003	+24.39390	19.058	093.57003	+24.39390
   3425920177356625408	NGC2168 	092.96659	+24.49655	16.781	092.96659	+24.49655
   3425852213793035776	NGC2168 	093.42174	+24.27342	18.718	093.42174	+24.27342
   3425921311228012416	NGC2168 	092.93768	+24.53687	14.976	092.93768	+24.53687
   3425858329826685952	NGC2168 	093.51475	+24.29841	18.940	093.51475	+24.29841
   3425921487320817152	NGC2168 	092.93472	+24.56498	15.382	092.93472	+24.56498
   3425906055503344640	NGC2168 	093.21678	+24.48013	18.642	093.21678	+24.48013
   3425924300525260032	NGC2168 	092.89347	+24.55532	13.790	092.89347	+24.55532
   3425909427052602368	NGC2168 	093.16106	+24.53015	14.635	093.16106	+24.53015
   3425924304819374080	NGC2168 	092.89528	+24.55793	11.830	092.89528	+24.55793
   3425920039917665280	NGC2168 	093.00792	+24.48605	18.374	093.00792	+24.48605
   3425918562446602112	NGC2168 	093.37802	+24.70626	16.357	093.37802	+24.70626
   3425919971198184832	NGC2168 	092.97205	+24.47956	18.083	092.97205	+24.47956
   3425915096409621376	NGC2168 	093.45067	+24.66207	18.868	093.45067	+24.66207
   3425903551537675392	NGC2168 	093.13732	+24.36419	16.625	093.13732	+24.36419
   3425906296021522816	NGC2168 	093.27401	+24.49412	17.983	093.27401	+24.49412
   3425904818553360512	NGC2168 	093.23973	+24.41404	18.752	093.23973	+24.41404
   3426283123569054720	NGC2168 	092.16926	+24.42776	16.389	092.16926	+24.42776
   3426271333880275584	NGC2168 	092.30384	+24.40609	 9.981	092.30384	+24.40609
   3426295316977650048	NGC2168 	092.32460	+24.47993	12.718	092.32460	+24.47993
   3426311569136377600	NGC2168 	092.21665	+24.59188	19.574	092.21665	+24.59188
   3426278759882414464	NGC2168 	091.93057	+24.34422	12.078	091.93057	+24.34422
   3426302532525101056	NGC2168 	092.55249	+24.55640	16.694	092.55249	+24.55640
   3426295076459482496	NGC2168 	092.35328	+24.46573	11.911	092.35328	+24.46573
   3426283948202775424	NGC2168 	092.14531	+24.44967	16.447	092.14531	+24.44967
   3426281298204405888	NGC2168 	092.16752	+24.37507	12.228	092.16752	+24.37507
   3426271509977845504	NGC2168 	092.27221	+24.42648	13.338	092.27221	+24.42648
   3426294148749656320	NGC2168 	092.36779	+24.42603	19.310	092.36779	+24.42603
   3426307514687088896	NGC2168 	092.34197	+24.51648	19.528	092.34197	+24.51648
   3426276423420296192	NGC2168 	091.82546	+24.24113	17.340	091.82546	+24.24113
