#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:31:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf282a85752	
#INFO	-out.max=9999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=J/A+A/616/A10/tablea1a
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&&-ref=VIZ5bf282a85752&-out.max=9999&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Source&-out=Cluster&Cluster=praesepe&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=plx&-out=e_plx&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/616/A10/tablea1a
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/616/A10/tablea1a
#-out=Source
#-out=Cluster
#Cluster=praesepe
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
deg	deg	 	 	deg	deg	mag	mas	mas	deg	deg
130.1508100	+21.5616600	    665129291274350976	Praesepe	130.15081	+21.56166	11.540	 5.339	 0.034	130.15081	+21.56166
130.5325500	+22.1846900	    665190039291682560	Praesepe	130.53255	+22.18469	16.856	 5.607	 0.009	130.53255	+22.18469
130.8830200	+21.3492300	    664901310113762688	Praesepe	130.88302	+21.34923	19.435	 5.575	 0.047	130.88302	+21.34923
131.5381000	+21.6079700	    664991817960938112	Praesepe	131.53810	+21.60797	17.258	 5.965	 0.055	131.53810	+21.60797
128.7052800	+17.4299800	    658927736456077568	Praesepe	128.70528	+17.42998	15.994	 5.586	 0.043	128.70528	+17.42998
128.5178700	+16.9735100	    658875028617474048	Praesepe	128.51787	+16.97351	17.452	 5.235	 0.012	128.51787	+16.97351
128.9307900	+16.7559300	    658831872786248832	Praesepe	128.93079	+16.75593	17.142	 5.537	 0.009	128.93079	+16.75593
128.7387000	+17.4877500	    658931408652027008	Praesepe	128.73870	+17.48775	18.682	 4.968	 0.019	128.73870	+17.48775
128.2799600	+17.1043800	    658893995192969728	Praesepe	128.27996	+17.10438	18.630	 5.223	 0.026	128.27996	+17.10438
125.4596000	+19.4890100	    663386977661550336	Praesepe	125.45960	+19.48901	 8.688	 5.482	 0.051	125.45960	+19.48901
126.0431800	+17.3264400	    656098826180222464	Praesepe	126.04318	+17.32644	19.301	 5.270	 0.006	126.04318	+17.32644
129.9847900	+23.7321500	    666246876124942848	Praesepe	129.98479	+23.73215	18.985	 4.410	 0.201	129.98479	+23.73215
128.3594100	+23.5200100	    666354800062502784	Praesepe	128.35941	+23.52001	16.048	 5.419	 0.055	128.35941	+23.52001
132.8200800	+22.2351300	    686066363488497408	Praesepe	132.82008	+22.23513	17.663	 5.525	 0.063	132.82008	+22.23513
132.7935700	+21.7848500	    685979429054822016	Praesepe	132.79357	+21.78485	19.183	 5.508	 0.043	132.79357	+21.78485
129.6010900	+20.1060100	    664337230586013312	Praesepe	129.60109	+20.10601	10.405	 5.431	 0.061	129.60109	+20.10601
129.7280200	+20.7879700	    664518856162322304	Praesepe	129.72802	+20.78797	18.325	 5.483	 0.006	129.72802	+20.78797
130.0932300	+20.6408100	    664455118847781760	Praesepe	130.09323	+20.64081	14.205	 5.505	 0.043	130.09323	+20.64081
130.3227100	+20.5424500	    664461578478588672	Praesepe	130.32271	+20.54245	17.092	 5.417	 0.037	130.32271	+20.54245
130.2719900	+20.4734200	    664437320503310336	Praesepe	130.27199	+20.47342	14.419	 5.254	 0.035	130.27199	+20.47342
130.2394700	+20.4781200	    664437561021480192	Praesepe	130.23947	+20.47812	18.440	 5.342	 0.096	130.23947	+20.47812
129.4772100	+20.1366900	    664339910645611776	Praesepe	129.47721	+20.13669	15.151	 5.250	 0.090	129.47721	+20.13669
130.2607600	+20.4576500	    664437286143573760	Praesepe	130.26076	+20.45765	12.093	 5.392	 0.060	130.26076	+20.45765
129.7647800	+19.9996900	    664323280532234240	Praesepe	129.76478	+19.99969	 8.271	 5.179	 0.051	129.76478	+19.99969
130.4251200	+20.5688600	    664459031561436544	Praesepe	130.42512	+20.56886	17.949	 5.422	 0.041	130.42512	+20.56886
129.5332200	+20.0639900	    664335684397673472	Praesepe	129.53322	+20.06399	17.423	 5.419	 0.040	129.53322	+20.06399
129.4553300	+19.9628400	    664311250327154432	Praesepe	129.45533	+19.96284	18.636	 5.684	 0.055	129.45533	+19.96284
130.0704500	+20.7001200	    664456626379853696	Praesepe	130.07045	+20.70012	18.431	 5.295	 0.056	130.07045	+20.70012
129.7297100	+20.2190700	    664344274332354304	Praesepe	129.72971	+20.21907	16.316	 5.497	 0.032	129.72971	+20.21907
129.5992600	+20.7279500	    664513049366544256	Praesepe	129.59926	+20.72795	14.257	 5.345	 0.027	129.59926	+20.72795
129.5894400	+20.1373200	    664337535526407680	Praesepe	129.58944	+20.13732	17.853	 5.294	 0.071	129.58944	+20.13732
129.9249800	+20.2958100	    664439416447387392	Praesepe	129.92498	+20.29581	17.081	 5.348	 0.087	129.92498	+20.29581
130.1989400	+20.4799000	    664438248216250880	Praesepe	130.19894	+20.47990	15.989	 5.525	 0.047	130.19894	+20.47990
129.3023800	+20.5447800	    664417494934591488	Praesepe	129.30238	+20.54478	14.145	 5.488	 0.050	129.30238	+20.54478
129.5302600	+20.4487500	    664402170491377920	Praesepe	129.53026	+20.44875	15.531	 5.660	 0.090	129.53026	+20.44875
129.8765900	+20.0690000	    664326922664482944	Praesepe	129.87659	+20.06900	10.141	 5.257	 0.032	129.87659	+20.06900
129.5339100	+20.4460900	    664401964332947584	Praesepe	129.53391	+20.44609	15.476	 5.442	 0.030	129.53391	+20.44609
129.2493900	+20.4064600	    664407427531262464	Praesepe	129.24939	+20.40646	14.254	 5.402	 0.032	129.24939	+20.40646
129.8250500	+20.7392100	    664506143059189888	Praesepe	129.82505	+20.73921	15.453	 5.322	 0.061	129.82505	+20.73921
129.8820400	+19.9545700	    664319118706857088	Praesepe	129.88204	+19.95457	18.299	 5.380	 0.018	129.88204	+19.95457
129.5889800	+20.4480500	    664399078114921600	Praesepe	129.58898	+20.44805	14.604	 5.243	 0.064	129.58898	+20.44805
129.6575900	+19.9896900	    664322421538783104	Praesepe	129.65759	+19.98969	 8.102	 5.598	 0.030	129.65759	+19.98969
129.7716400	+20.1171100	    664330839674663296	Praesepe	129.77164	+20.11711	 9.289	 5.371	 0.048	129.77164	+20.11711
129.1643000	+20.3759700	    664406087501474048	Praesepe	129.16430	+20.37597	16.861	 5.458	 0.096	129.16430	+20.37597
129.2356400	+20.3193900	    664404713111939072	Praesepe	129.23564	+20.31939	14.762	 5.436	 0.084	129.23564	+20.31939
130.4966800	+20.9186000	    664486798525148160	Praesepe	130.49668	+20.91860	11.104	 5.278	 0.022	130.49668	+20.91860
129.8433600	+20.0818200	    664329946321463168	Praesepe	129.84336	+20.08182	16.095	 5.190	 0.014	129.84336	+20.08182
129.9397300	+20.0043400	    664325543977630464	Praesepe	129.93973	+20.00434	17.999	 5.460	 0.016	129.93973	+20.00434
129.6055600	+20.3557700	    664396294976119680	Praesepe	129.60556	+20.35577	18.108	 5.610	 0.056	129.60556	+20.35577
129.9696500	+20.0180400	    664325616994522880	Praesepe	129.96965	+20.01804	16.410	 5.390	 0.021	129.96965	+20.01804
130.1105500	+20.2536000	    664425054076741120	Praesepe	130.11055	+20.25360	15.678	 5.239	 0.042	130.11055	+20.25360
129.6718300	+19.9963700	    664323825990708352	Praesepe	129.67183	+19.99637	18.629	 5.107	 0.036	129.67183	+19.99637
130.3100500	+20.9961600	    664537032463944960	Praesepe	130.31005	+20.99616	17.752	 5.290	 0.020	130.31005	+20.99616
129.7785000	+20.3483500	    664349874969575680	Praesepe	129.77850	+20.34835	15.301	 5.339	 0.065	129.77850	+20.34835
130.0416000	+20.4188900	    664442233945917440	Praesepe	130.04160	+20.41889	14.680	 5.391	 0.057	130.04160	+20.41889
130.1454600	+20.6010100	    664451609857973376	Praesepe	130.14546	+20.60101	18.065	 5.567	 0.037	130.14546	+20.60101
129.7356400	+20.8576700	    664520294975172608	Praesepe	129.73564	+20.85767	17.281	 5.439	 0.026	129.73564	+20.85767
130.3653500	+21.0613000	    664539094048241536	Praesepe	130.36535	+21.06130	16.677	 5.603	 0.031	130.36535	+21.06130
129.6625700	+20.1707100	    664343896375336320	Praesepe	129.66257	+20.17071	16.064	 5.567	 0.080	129.66257	+20.17071
129.8634700	+20.7330000	    664505898245002496	Praesepe	129.86347	+20.73300	18.867	 5.352	 0.061	129.86347	+20.73300
130.1576900	+20.3382400	    664429005446645376	Praesepe	130.15769	+20.33824	14.389	 5.252	 0.026	130.15769	+20.33824
129.6419700	+20.7747400	    664513594826132480	Praesepe	129.64197	+20.77474	17.347	 5.654	 0.057	129.64197	+20.77474
130.0052400	+20.1355700	    664328915529295232	Praesepe	130.00524	+20.13557	 9.565	 5.359	 0.090	130.00524	+20.13557
129.9930600	+20.1581900	    664329190407201280	Praesepe	129.99306	+20.15819	 8.826	 5.539	 0.082	129.99306	+20.15819
129.2250000	+19.6171000	    664286721770683136	Praesepe	129.22500	+19.61710	17.843	 5.275	 0.018	129.22500	+19.61710
129.1269200	+19.9204900	    664353757620109440	Praesepe	129.12692	+19.92049	18.066	 5.482	 0.047	129.12692	+19.92049
130.3177900	+20.8151700	    664481743348692352	Praesepe	130.31779	+20.81517	18.748	 5.428	 0.013	130.31779	+20.81517
129.0660900	+20.1201900	    664366024046570112	Praesepe	129.06609	+20.12019	14.926	 5.339	 0.042	129.06609	+20.12019
129.3849700	+19.5216100	    664281396011231744	Praesepe	129.38497	+19.52161	15.271	 5.270	 0.053	129.38497	+19.52161
129.7256700	+19.8623100	    664316644805338624	Praesepe	129.72567	+19.86231	18.454	 5.342	 0.052	129.72567	+19.86231
130.1325200	+20.2016100	    664422683254834304	Praesepe	130.13252	+20.20161	11.339	 5.474	 0.063	130.13252	+20.20161
129.3597900	+19.4868400	    664281018054115968	Praesepe	129.35979	+19.48684	13.371	 5.403	 0.015	129.35979	+19.48684
129.9762000	+20.5601500	    664452954184200704	Praesepe	129.97620	+20.56015	 9.237	 5.347	 0.035	129.97620	+20.56015
128.8667000	+20.1962800	    664376435047303168	Praesepe	128.86670	+20.19628	10.185	 5.498	 0.083	128.86670	+20.19628
130.2185000	+20.2664600	    664424641759918720	Praesepe	130.21850	+20.26646	 8.419	 5.197	 0.030	130.21850	+20.26646
129.8609500	+20.4311500	    664444639127529728	Praesepe	129.86095	+20.43115	16.405	 5.281	 0.041	129.86095	+20.43115
129.4190500	+19.5508200	    664281911407300480	Praesepe	129.41905	+19.55082	16.576	 5.790	 0.061	129.41905	+19.55082
129.5101400	+20.6211800	    664509987053483008	Praesepe	129.51014	+20.62118	18.261	 5.457	 0.074	129.51014	+20.62118
128.9592500	+19.8499600	    664352692468240896	Praesepe	128.95925	+19.84996	17.508	 5.280	 0.010	128.95925	+19.84996
128.9447200	+19.8708700	    664352761187716352	Praesepe	128.94472	+19.87087	14.000	 5.824	 0.032	128.94472	+19.87087
129.3876000	+20.6694000	    664420381152602496	Praesepe	129.38760	+20.66940	17.561	 5.284	 0.030	129.38760	+20.66940
130.3367900	+20.3465000	    664431204469943808	Praesepe	130.33679	+20.34650	15.750	 5.159	 0.088	130.33679	+20.34650
129.5622400	+20.5677600	    664403991557398784	Praesepe	129.56224	+20.56776	11.245	 5.282	 0.044	129.56224	+20.56776
129.3519200	+19.7866000	    664301427738676992	Praesepe	129.35192	+19.78660	17.499	 5.445	 0.050	129.35192	+19.78660
129.7082000	+20.0675900	    664324684984105728	Praesepe	129.70820	+20.06759	10.657	 5.238	 0.068	129.70820	+20.06759
129.3684200	+20.6078700	    664419556518886272	Praesepe	129.36842	+20.60787	14.749	 5.606	 0.006	129.36842	+20.60787
129.9315300	+20.4942800	    664446700711823616	Praesepe	129.93153	+20.49428	16.531	 5.246	 0.047	129.93153	+20.49428
129.5191000	+20.6597200	    664510949126187136	Praesepe	129.51910	+20.65972	16.989	 5.467	 0.057	129.51910	+20.65972
129.3260600	+19.6989400	    664288748995228160	Praesepe	129.32606	+19.69894	11.286	 5.468	 0.067	129.32606	+19.69894
129.2977100	+19.8036300	    664302424170984576	Praesepe	129.29771	+19.80363	11.138	 5.355	 0.065	129.29771	+19.80363
129.6902100	+20.6621600	    664499954009909760	Praesepe	129.69021	+20.66216	17.575	 5.303	 0.026	129.69021	+20.66216
129.7921800	+20.4083200	    664444914005442304	Praesepe	129.79218	+20.40832	13.766	 5.502	 0.004	129.79218	+20.40832
129.6366600	+19.7737200	    664292459846946560	Praesepe	129.63666	+19.77372	15.395	 5.156	 0.022	129.63666	+19.77372
129.4371600	+19.6746700	    664285175582432128	Praesepe	129.43716	+19.67467	15.603	 4.929	 0.077	129.43716	+19.67467
130.4733700	+20.6210600	    664460685125455360	Praesepe	130.47337	+20.62106	18.217	 5.466	 0.028	130.47337	+20.62106
129.5153400	+19.6975100	    664290948018472064	Praesepe	129.51534	+19.69751	16.148	 5.213	 0.042	129.51534	+19.69751
128.7295300	+20.1054300	    664374613981190656	Praesepe	128.72953	+20.10543	15.190	 5.478	 0.034	128.72953	+20.10543
129.9635200	+20.5804800	    664453778817920256	Praesepe	129.96352	+20.58048	15.110	 5.387	 0.053	129.96352	+20.58048
130.0038500	+20.9728200	    664535211396282880	Praesepe	130.00385	+20.97282	19.269	 5.213	 0.052	130.00385	+20.97282
129.6919400	+20.5767200	    664497209527231872	Praesepe	129.69194	+20.57672	12.175	 5.329	 0.014	129.69194	+20.57672
130.4337500	+20.6044100	    664463502623929088	Praesepe	130.43375	+20.60441	16.869	 5.324	 0.011	130.43375	+20.60441
129.2817300	+19.9575700	    664313384927507968	Praesepe	129.28173	+19.95757	17.614	 5.263	 0.016	129.28173	+19.95757
129.0907300	+20.2054100	    664379974100333568	Praesepe	129.09073	+20.20541	15.737	 5.296	 0.052	129.09073	+20.20541
129.6154000	+19.7654100	    664292322407994624	Praesepe	129.61540	+19.76541	15.203	 5.419	 0.058	129.61540	+19.76541
130.4165500	+20.6721400	    664464808293984000	Praesepe	130.41655	+20.67214	 9.523	 5.360	 0.042	130.41655	+20.67214
129.5591100	+19.7897900	    664293387559886464	Praesepe	129.55911	+19.78979	14.042	 5.322	 0.031	129.55911	+19.78979
129.7662600	+20.5672500	    664495457180572288	Praesepe	129.76626	+20.56725	15.943	 5.576	 0.031	129.76626	+20.56725
129.5603400	+19.8763300	    664297991764819968	Praesepe	129.56034	+19.87633	16.653	 4.597	 0.049	129.56034	+19.87633
129.5335200	+20.4394800	    664401960036152960	Praesepe	129.53352	+20.43948	11.519	 5.392	 0.016	129.53352	+20.43948
130.5214200	+20.9656500	    664487623160237184	Praesepe	130.52142	+20.96565	15.001	 5.299	 0.019	130.52142	+20.96565
129.0065500	+19.9586600	    664356502102864512	Praesepe	129.00655	+19.95866	18.627	 5.514	 0.026	129.00655	+19.95866
129.1755600	+20.2729900	    664380695654828416	Praesepe	129.17556	+20.27299	17.509	 5.566	 0.032	129.17556	+20.27299
129.1714300	+20.2777000	    664380695654828160	Praesepe	129.17143	+20.27770	17.000	 5.373	 0.014	129.17143	+20.27770
129.0725200	+20.3414500	    664385059341602560	Praesepe	129.07252	+20.34145	 7.442	 5.263	 0.035	129.07252	+20.34145
129.0796500	+19.8985200	    664353860699329920	Praesepe	129.07965	+19.89852	16.287	 5.334	 0.101	129.07965	+19.89852
129.7309800	+19.8425300	    664316546023530368	Praesepe	129.73098	+19.84253	17.500	 5.293	 0.015	129.73098	+19.84253
129.1453000	+20.2751300	    664380867453522432	Praesepe	129.14530	+20.27513	15.749	 5.435	 0.041	129.14530	+20.27513
129.6233100	+19.8624300	    664297064051880832	Praesepe	129.62331	+19.86243	13.526	 5.345	 0.061	129.62331	+19.86243
129.0182900	+19.9202300	    664353379662996224	Praesepe	129.01829	+19.92023	14.089	 5.444	 0.051	129.01829	+19.92023
129.8604600	+20.8623300	    664509437297849856	Praesepe	129.86046	+20.86233	18.257	 5.335	 0.108	129.86046	+20.86233
129.3548600	+20.3554700	    664394439550157312	Praesepe	129.35486	+20.35547	14.815	 5.336	 0.021	129.35486	+20.35547
129.0474500	+19.8778000	    664352245791631488	Praesepe	129.04745	+19.87780	14.799	 5.429	 0.007	129.04745	+19.87780
130.3083800	+20.7415300	    664477968073854720	Praesepe	130.30838	+20.74153	16.043	 5.444	 0.040	130.30838	+20.74153
129.1389400	+19.9150500	    664353757620108544	Praesepe	129.13894	+19.91505	15.448	 5.382	 0.068	129.13894	+19.91505
130.0054300	+20.3728700	    664441615470632064	Praesepe	130.00543	+20.37287	18.357	 5.152	 0.022	130.00543	+20.37287
129.5045900	+19.9785600	    664310601788795392	Praesepe	129.50459	+19.97856	16.901	 5.257	 0.034	129.50459	+19.97856
129.4194500	+19.5183600	    664281494793527936	Praesepe	129.41945	+19.51836	 8.196	 5.312	 0.007	129.41945	+19.51836
129.0932100	+20.1185500	    664365852247875840	Praesepe	129.09321	+20.11855	17.401	 5.304	 0.022	129.09321	+20.11855
129.1740800	+20.4110400	    664409175581692288	Praesepe	129.17408	+20.41104	12.595	 5.226	 0.017	129.17408	+20.41104
129.0356400	+19.9569900	    664354994570694400	Praesepe	129.03564	+19.95699	17.314	 5.583	 0.059	129.03564	+19.95699
129.4432200	+19.5992400	    664283522018090496	Praesepe	129.44322	+19.59924	12.092	 5.454	 0.054	129.44322	+19.59924
129.0848000	+20.1166900	    664365852247876864	Praesepe	129.08480	+20.11669	16.660	 5.359	 0.073	129.08480	+20.11669
130.0702500	+20.7116700	    664456733755404928	Praesepe	130.07025	+20.71167	16.821	 5.235	 0.028	130.07025	+20.71167
129.3424500	+20.1769500	    664387808120781440	Praesepe	129.34245	+20.17695	11.254	 5.348	 0.025	129.34245	+20.17695
129.5314300	+19.9878100	    664334035130360192	Praesepe	129.53143	+19.98781	11.850	 5.325	 0.014	129.53143	+19.98781
129.5054900	+20.5414700	    664403506224429184	Praesepe	129.50549	+20.54147	18.207	 5.576	 0.076	129.50549	+20.54147
129.4668700	+19.9871300	    664311392062657920	Praesepe	129.46687	+19.98713	11.097	 5.516	 0.067	129.46687	+19.98713
129.4574900	+20.7946000	    664516107383262208	Praesepe	129.45749	+20.79460	17.932	 5.548	 0.043	129.45749	+20.79460
129.9691700	+20.5128300	    664446666352164224	Praesepe	129.96917	+20.51283	16.243	 5.094	 0.054	129.96917	+20.51283
