#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:30:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf282a85752	
#INFO	-out.max=9999	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=9999
#-order=I
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&&-ref=VIZ5bf282a85752&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/A+A/616/A10/tablea1a&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Source&-out=Cluster&Cluster=pleiades&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=plx&-out=e_plx&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/A+A/616/A10/tablea1a
#-source=J/A+A/616/A10/tablea1a
#-out=Source
#-out=Cluster
#Cluster=pleiades
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
 	 	deg	deg	mag	mas	mas	deg	deg
     70201725786644608	Pleiades	055.72508	+26.13768	16.836	 7.625	 0.060	055.72508	+26.13768
     70158977974956672	Pleiades	055.17747	+25.70527	12.330	 7.391	 0.005	055.17747	+25.70527
     70234882933734400	Pleiades	056.22103	+26.14180	12.138	 7.806	 0.016	056.22103	+26.14180
     67724697887107200	Pleiades	054.16008	+23.14548	17.559	 7.410	 0.046	054.16008	+23.14548
     67920926352940032	Pleiades	052.49487	+23.37164	15.764	 7.141	 0.029	052.49487	+23.37164
     67656665605333888	Pleiades	052.95779	+22.84000	16.666	 8.177	 0.006	052.95779	+22.84000
     67799189799869312	Pleiades	053.74453	+23.52996	 8.778	 7.162	 0.021	053.74453	+23.52996
     67878663874731136	Pleiades	053.03286	+23.23243	16.135	 6.968	 0.028	053.03286	+23.23243
     68014964661425280	Pleiades	053.81787	+23.79925	17.412	 7.523	 0.031	053.81787	+23.79925
     67793309988387456	Pleiades	053.82823	+23.43899	18.395	 7.427	 0.049	053.82823	+23.43899
     67988615037924096	Pleiades	053.64827	+23.64529	17.938	 7.400	 0.012	053.64827	+23.64529
     67899520235887616	Pleiades	053.15763	+23.43292	17.220	 7.285	 0.021	053.15763	+23.43292
     67732257029618048	Pleiades	054.59755	+23.10785	14.313	 7.463	 0.022	054.59755	+23.10785
     67667935599570432	Pleiades	053.45758	+22.93867	17.238	 7.216	 0.047	053.45758	+22.93867
     67756789882795008	Pleiades	054.48519	+23.38224	15.887	 7.527	 0.011	054.48519	+23.38224
     67747615832673408	Pleiades	054.31896	+23.18437	16.534	 7.960	 0.020	054.31896	+23.18437
     67736070960579072	Pleiades	054.40459	+23.18261	16.794	 6.929	 0.034	054.40459	+23.18261
     67832346947351424	Pleiades	054.04620	+23.80626	17.270	 7.289	 0.009	054.04620	+23.80626
     67998201404864896	Pleiades	053.17636	+23.56657	16.672	 7.320	 0.032	053.17636	+23.56657
     64870296982175488	Pleiades	056.03679	+23.07971	14.509	 7.290	 0.060	056.03679	+23.07971
     64671903852618624	Pleiades	054.59418	+22.49949	 9.934	 7.284	 0.028	054.59418	+22.49949
     64857721317916032	Pleiades	056.48745	+23.02459	16.534	 7.476	 0.031	056.48745	+23.02459
     64642801154268672	Pleiades	055.35561	+22.54873	15.334	 7.275	 0.028	055.35561	+22.54873
     64597927335800064	Pleiades	054.10151	+22.62360	13.518	 7.291	 0.021	054.10151	+22.62360
     64644484781444864	Pleiades	055.33339	+22.63146	15.737	 7.006	 0.040	055.33339	+22.63146
     64856312568645248	Pleiades	056.52195	+22.98143	13.431	 7.608	 0.025	056.52195	+22.98143
     64656201452146304	Pleiades	054.93671	+22.65411	16.817	 7.596	 0.036	054.93671	+22.65411
     64768763955442944	Pleiades	056.36073	+22.52542	16.132	 7.326	 0.050	056.36073	+22.52542
     64720625961541120	Pleiades	054.95722	+23.05716	16.862	 7.248	 0.058	054.95722	+23.05716
     64665203703566848	Pleiades	055.18006	+22.83148	16.936	 7.297	 0.043	055.18006	+22.83148
     64589062523316736	Pleiades	053.93454	+22.45260	15.735	 7.132	 0.022	053.93454	+22.45260
     64764189813713408	Pleiades	056.12297	+22.42340	18.341	 7.628	 0.036	056.12297	+22.42340
     64808204638390912	Pleiades	056.66006	+22.91959	 9.300	 7.163	 0.034	056.66006	+22.91959
     64795289673433728	Pleiades	056.55780	+22.70531	16.584	 7.460	 0.057	056.55780	+22.70531
     58259414601023744	Pleiades	054.29532	+21.20262	17.260	 7.497	 0.035	054.29532	+21.20262
     64796045587678208	Pleiades	056.54004	+22.71021	15.860	 6.912	 0.029	056.54004	+22.71021
     64667535869958784	Pleiades	055.22706	+22.90696	17.072	 7.240	 0.016	055.22706	+22.90696
     64600813554014592	Pleiades	054.93418	+22.12921	15.572	 7.075	 0.036	054.93418	+22.12921
     64798691287540224	Pleiades	056.41633	+22.69427	 7.787	 7.259	 0.024	056.41633	+22.69427
     64770241424108032	Pleiades	056.17435	+22.46435	10.582	 7.487	 0.049	056.17435	+22.46435
     64818203322590208	Pleiades	055.86444	+22.62795	17.367	 7.792	 0.064	055.86444	+22.62795
     64720179284934016	Pleiades	055.09941	+23.06905	16.634	 7.239	 0.022	055.09941	+23.06905
     64822017259193600	Pleiades	056.10669	+22.66874	18.595	 7.227	 0.043	056.10669	+22.66874
     64843805623922688	Pleiades	055.85491	+22.89550	16.964	 7.527	 0.022	055.85491	+22.89550
     64739248940235392	Pleiades	056.24560	+22.03226	 9.354	 7.110	 0.029	056.24560	+22.03226
     64743646986745600	Pleiades	056.16536	+22.11313	10.884	 6.822	 0.038	056.16536	+22.11313
     64808483812941440	Pleiades	056.64507	+22.93529	14.020	 7.301	 0.015	056.64507	+22.93529
     64804841680675200	Pleiades	056.72202	+22.88075	11.552	 6.730	 0.025	056.72202	+22.88075
     64840541448791424	Pleiades	055.82929	+22.78610	16.847	 7.525	 0.015	055.82929	+22.78610
     64653383953596032	Pleiades	055.02926	+22.64640	17.178	 7.435	 0.024	055.02926	+22.64640
     64757425241820800	Pleiades	056.12937	+22.25404	15.512	 6.861	 0.038	056.12937	+22.25404
     64734709159049600	Pleiades	054.93055	+23.20692	17.373	 7.130	 0.059	054.93055	+23.20692
     64798038452412928	Pleiades	056.30188	+22.69731	16.186	 7.331	 0.057	056.30188	+22.69731
     64745841713292160	Pleiades	056.24330	+22.19156	18.160	 7.228	 0.032	056.24330	+22.19156
     64837242912474624	Pleiades	055.87212	+22.73462	 8.875	 7.472	 0.028	055.87212	+22.73462
     64804360644343424	Pleiades	056.66843	+22.84419	17.322	 7.595	 0.046	056.66843	+22.84419
     64555694921236352	Pleiades	053.72902	+22.07945	15.087	 7.088	 0.033	053.72902	+22.07945
     64871740091177600	Pleiades	056.29512	+23.04932	16.322	 7.489	 0.039	056.29512	+23.04932
     64679840952155264	Pleiades	054.66976	+22.65942	 6.687	 7.442	 0.027	054.66976	+22.65942
     64765254965634176	Pleiades	056.10636	+22.46370	18.828	 7.084	 0.017	056.10636	+22.46370
     63795455648004608	Pleiades	058.64506	+21.88372	14.642	 7.324	 0.026	058.64506	+21.88372
     64007244778181248	Pleiades	056.93617	+22.21210	18.199	 7.242	 0.031	056.93617	+22.21210
     64066107307543296	Pleiades	057.72447	+22.54787	12.386	 7.303	 0.041	057.72447	+22.54787
     63937700667501184	Pleiades	057.26243	+21.91286	17.533	 7.808	 0.053	057.26243	+21.91286
     64114245300877184	Pleiades	057.29700	+22.60926	 7.692	 7.568	 0.044	057.29700	+22.60926
     64094041774819328	Pleiades	057.71451	+22.66594	18.468	 7.305	 0.124	057.71451	+22.66594
     64117784354039040	Pleiades	057.60501	+22.67536	17.430	 7.129	 0.036	057.60501	+22.67536
     63916431989200256	Pleiades	056.89244	+21.74661	11.994	 7.599	 0.042	056.89244	+21.74661
     64104933811828480	Pleiades	057.96086	+22.89552	15.927	 7.346	 0.057	057.96086	+22.89552
     63988351216124288	Pleiades	056.28173	+21.99578	11.076	 7.781	 0.086	056.28173	+21.99578
     63959351598814336	Pleiades	057.45190	+22.17998	15.798	 6.896	 0.013	057.45190	+22.17998
     63839023796354560	Pleiades	058.02785	+22.02053	17.185	 7.943	 0.055	058.02785	+22.02053
     63889085934846208	Pleiades	058.47225	+22.51028	17.955	 7.683	 0.056	058.47225	+22.51028
     64109915973846528	Pleiades	057.40917	+22.53329	 6.990	 7.347	 0.051	057.40917	+22.53329
     64006905476619776	Pleiades	056.84689	+22.24436	13.914	 7.134	 0.013	056.84689	+22.24436
     63958801843006208	Pleiades	057.39959	+22.15124	13.149	 6.925	 0.053	057.39959	+22.15124
     64001339197473408	Pleiades	056.99190	+22.11400	19.127	 7.572	 0.009	056.99190	+22.11400
     64024081049308800	Pleiades	056.66922	+22.36753	17.803	 7.289	 0.058	056.66922	+22.36753
     63999999169130112	Pleiades	056.63057	+22.30532	16.636	 7.485	 0.062	056.63057	+22.30532
     63892006512622848	Pleiades	058.21556	+22.52561	15.796	 7.400	 0.038	058.21556	+22.52561
     64095656682494720	Pleiades	057.91274	+22.75008	11.856	 7.276	 0.030	057.91274	+22.75008
     64050645425295872	Pleiades	057.76639	+22.40455	13.866	 7.461	 0.006	057.76639	+22.40455
     63997697066663040	Pleiades	056.50395	+22.20802	18.385	 8.179	 0.040	056.50395	+22.20802
     64078167575681152	Pleiades	058.02330	+22.58186	15.123	 7.519	 0.074	058.02330	+22.58186
     64073597730589952	Pleiades	058.14369	+22.50196	14.980	 6.925	 0.041	058.14369	+22.50196
     63876402894075904	Pleiades	058.47018	+22.41834	11.674	 7.424	 0.024	058.47018	+22.41834
     63940208928422656	Pleiades	057.42386	+21.93854	18.317	 7.435	 0.110	057.42386	+21.93854
     63923205154013312	Pleiades	056.92075	+21.81792	18.048	 7.601	 0.038	056.92075	+21.81792
     63786625195137664	Pleiades	058.26762	+21.88981	17.906	 7.780	 0.038	058.26762	+21.88981
     63849572235829248	Pleiades	057.84955	+22.11319	12.748	 7.237	 0.013	057.84955	+22.11319
     63775355201110016	Pleiades	058.20297	+21.70760	13.955	 7.811	 0.002	058.20297	+21.70760
     64103009666497024	Pleiades	057.84931	+22.84128	13.683	 7.402	 0.021	057.84931	+22.84128
     64092907903452800	Pleiades	057.77559	+22.63338	17.156	 7.474	 0.022	057.77559	+22.63338
     63781329497669504	Pleiades	058.39752	+21.78480	18.893	 7.536	 0.058	058.39752	+21.78480
     64059407158605568	Pleiades	057.39781	+22.39047	17.087	 7.381	 0.035	057.39781	+22.39047
     64057895330132224	Pleiades	057.35654	+22.31222	17.579	 7.186	 0.034	057.35654	+22.31222
     64117062799542016	Pleiades	057.59190	+22.62551	16.234	 6.947	 0.031	057.59190	+22.62551
     64032503481665280	Pleiades	056.84367	+22.51957	17.626	 7.371	 0.077	056.84367	+22.51957
     64037588724758400	Pleiades	057.63319	+22.14638	16.006	 6.863	 0.038	057.63319	+22.14638
     63826448131945984	Pleiades	057.96633	+21.82257	15.867	 7.440	 0.038	057.96633	+21.82257
     64027143362491008	Pleiades	056.93624	+22.39797	16.688	 7.555	 0.073	056.93624	+22.39797
     63826070174824192	Pleiades	057.96492	+21.82122	16.313	 7.355	 0.048	057.96492	+21.82122
     63824901943723392	Pleiades	058.01833	+21.76071	17.582	 7.242	 0.063	058.01833	+21.76071
     63838886357191936	Pleiades	058.07697	+22.01472	14.851	 6.687	 0.011	058.07697	+22.01472
     64021714523841280	Pleiades	056.83519	+22.36557	17.070	 7.419	 0.055	056.83519	+22.36557
     64064011363520512	Pleiades	057.65595	+22.46875	16.349	 7.119	 0.090	057.65595	+22.46875
     63957526236677632	Pleiades	057.27164	+22.08116	18.985	 6.964	 0.084	057.27164	+22.08116
     63953819680971008	Pleiades	057.07348	+22.06682	16.515	 7.513	 0.049	057.07348	+22.06682
     63884584809145600	Pleiades	058.23743	+22.43352	15.212	 7.480	 0.026	058.23743	+22.43352
     63995562466405760	Pleiades	056.70921	+22.21164	17.814	 7.289	 0.033	056.70921	+22.21164
