#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T08:56:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5bf27a0144f2
#INFO	-out.max=1000
#INFO	queryParameters=20
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/616/A10/tablea1a
#-order=I
#-out=Source
#-out=Cluster
#Cluster=Hyades
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
deg	deg	 	 	deg	deg	mag	mas	mas	deg	deg
075.8298600	+03.8403800	   3238530414929634304	Hyades  	075.82986	+03.84038	15.589	21.598	 0.035	075.82986	+03.84038
069.2719200	+20.7180200	   3411274308810562688	Hyades  	069.27192	+20.71802	14.024	17.408	 0.044	069.27192	+20.71802
053.2094200	+23.6920200	     68001499939741440	Hyades  	053.20942	+23.69202	 8.635	23.765	 0.022	053.20942	+23.69202
054.1309800	+22.7822900	     67696694700442624	Hyades  	054.13098	+22.78229	12.979	25.758	 0.090	054.13098	+22.78229
069.7760700	+07.8709900	   3292227607891547264	Hyades  	069.77607	+07.87099	 5.308	20.305	 0.089	069.77607	+07.87099
070.4300100	+08.4380800	   3292367795624174720	Hyades  	070.43001	+08.43808	15.502	23.628	 0.079	070.43001	+08.43808
070.4294800	+08.4392500	   3292367795624174592	Hyades  	070.42948	+08.43925	14.102	23.559	 0.034	070.42948	+08.43925
053.5448600	+22.0724000	     64552022725337856	Hyades  	053.54486	+22.07240	14.610	28.054	 0.049	053.54486	+22.07240
059.8128600	+06.2279200	   3273807936268126464	Hyades  	059.81286	+06.22792	14.549	18.431	 0.046	059.81286	+06.22792
069.2916800	+12.1054600	   3306443434245315200	Hyades  	069.29168	+12.10546	14.828	19.556	 0.046	069.29168	+12.10546
068.9661100	+12.2555100	   3306634646189021440	Hyades  	068.96611	+12.25551	17.518	19.730	 0.007	068.96611	+12.25551
067.8174500	+12.2000800	   3306588707218380288	Hyades  	067.81745	+12.20008	14.404	22.056	 0.013	067.81745	+12.20008
069.5398900	+12.5107700	   3306483944376792832	Hyades  	069.53989	+12.51077	 4.188	22.867	 0.205	069.53989	+12.51077
068.1896200	+12.0666100	   3306592418070112384	Hyades  	068.18962	+12.06661	13.764	20.521	 0.020	068.18962	+12.06661
065.4833800	+23.4180600	    148867315986268672	Hyades  	065.48338	+23.41806	12.458	23.085	 0.017	065.48338	+23.41806
065.3206400	+23.1977300	    148792171240741120	Hyades  	065.32064	+23.19773	15.250	19.900	 0.041	065.32064	+23.19773
064.5454100	+23.2844900	    148946068508277888	Hyades  	064.54541	+23.28449	 9.160	18.443	 0.044	064.54541	+23.28449
063.6352100	+23.5747400	    149005270337201792	Hyades  	063.63521	+23.57474	 7.883	21.846	 0.023	063.63521	+23.57474
055.2296400	+19.4963500	     57083830512424448	Hyades  	055.22964	+19.49635	17.086	24.710	 0.044	055.22964	+19.49635
062.1514400	+23.7684200	     53942250914697472	Hyades  	062.15144	+23.76842	 9.190	21.064	 0.027	062.15144	+23.76842
061.5881200	+23.4240500	     53825771402706304	Hyades  	061.58812	+23.42405	13.124	23.513	 0.034	061.58812	+23.42405
064.7420800	+19.9065400	     49005581144118784	Hyades  	064.74208	+19.90654	 8.415	21.274	 0.015	064.74208	+19.90654
065.4102400	+20.3026100	     49124190961270656	Hyades  	065.41024	+20.30261	14.774	26.671	 0.043	065.41024	+20.30261
064.7634800	+19.5441700	     48977371798954368	Hyades  	064.76348	+19.54417	13.977	23.267	 0.063	064.76348	+19.54417
070.7176600	+09.9963900	   3293856362569126400	Hyades  	070.71766	+09.99639	14.369	16.953	 0.004	070.71766	+09.99639
066.4056100	+08.5913600	   3287450745264292864	Hyades  	066.40561	+08.59136	15.970	22.721	 0.105	066.40561	+08.59136
067.2741500	+09.1824600	   3287587771900733440	Hyades  	067.27415	+09.18246	15.239	16.943	 0.170	067.27415	+09.18246
069.6813000	+21.7371200	    144833998098820992	Hyades  	069.68130	+21.73712	15.141	22.953	 0.031	069.68130	+21.73712
065.2677300	+03.2688500	   3283285795218796800	Hyades  	065.26773	+03.26885	 9.148	26.943	 0.021	065.26773	+03.26885
064.6817000	+03.2550400	   3283238344419794304	Hyades  	064.68170	+03.25504	15.666	28.077	 0.013	064.68170	+03.25504
065.6049500	+03.6190300	   3283324415564687104	Hyades  	065.60495	+03.61903	12.793	27.722	 0.049	065.60495	+03.61903
055.4045000	+23.3435300	     65103668325506560	Hyades  	055.40450	+23.34353	12.757	24.007	 0.029	055.40450	+23.34353
073.1985200	+22.6470800	   3413223227530503168	Hyades  	073.19852	+22.64708	10.961	17.987	 0.116	073.19852	+22.64708
071.8594900	+23.0507400	   3413146914550583680	Hyades  	071.85949	+23.05074	10.303	18.202	 0.039	071.85949	+23.05074
064.5380600	+17.4161300	     47319961098840192	Hyades  	064.53806	+17.41613	14.729	21.777	 0.044	064.53806	+17.41613
061.4158900	+17.9375900	     47019347749289216	Hyades  	061.41589	+17.93759	 9.030	21.846	 0.038	061.41589	+17.93759
064.7745200	+17.5730300	     47345490384536576	Hyades  	064.77452	+17.57303	15.912	17.948	 0.151	064.77452	+17.57303
061.5864600	+19.0273500	     47247938791363200	Hyades  	061.58646	+19.02735	14.524	18.747	 0.022	061.58646	+19.02735
060.7218600	+18.4071800	     47109438983082496	Hyades  	060.72186	+18.40718	13.866	21.831	 0.020	060.72186	+18.40718
064.7838800	+17.5246300	     47345009348203392	Hyades  	064.78388	+17.52463	 8.270	21.299	 0.019	064.78388	+17.52463
061.5100200	+18.2507600	     47068207297219584	Hyades  	061.51002	+18.25076	11.894	25.476	 0.026	061.51002	+18.25076
071.9050700	+10.2329700	   3293176074109393152	Hyades  	071.90507	+10.23297	13.742	18.967	 0.023	071.90507	+10.23297
075.0141100	+15.9146700	   3393305093357807744	Hyades  	075.01411	+15.91467	14.997	23.020	 0.040	075.01411	+15.91467
080.5066600	+15.5817500	   3391006113328069632	Hyades  	080.50666	+15.58175	16.632	17.105	 0.022	080.50666	+15.58175
075.3132400	+17.6938600	   3407257105639932032	Hyades  	075.31324	+17.69386	15.544	23.269	 0.048	075.31324	+17.69386
075.2304800	+18.8072300	   3407395193133161728	Hyades  	075.23048	+18.80723	15.528	23.074	 0.042	075.23048	+18.80723
059.7278000	+25.2196100	     66286704180780672	Hyades  	059.72780	+25.21961	13.010	20.372	 0.023	059.72780	+25.21961
057.7637000	+23.9034400	     66482352830035840	Hyades  	057.76370	+23.90344	 9.788	24.461	 0.006	057.76370	+23.90344
077.3321100	+09.8295500	   3290872562889409024	Hyades  	077.33211	+09.82955	 5.366	18.390	 0.174	077.33211	+09.82955
071.0620500	+05.7326200	   3282728853923029376	Hyades  	071.06205	+05.73262	18.028	21.264	 0.254	071.06205	+05.73262
073.0997800	+10.7193800	   3294522907134516864	Hyades  	073.09978	+10.71938	11.955	19.219	 0.026	073.09978	+10.71938
069.4930900	+04.6698100	   3282171749421655168	Hyades  	069.49309	+04.66981	10.898	20.699	 0.011	069.49309	+04.66981
071.2512700	+17.2719900	   3406246551373367168	Hyades  	071.25127	+17.27199	16.207	16.319	 0.059	071.25127	+17.27199
071.2514700	+17.2721600	   3406246551373367296	Hyades  	071.25147	+17.27216	16.171	16.037	 0.125	071.25147	+17.27216
072.1280500	+16.3884000	   3405909374965722368	Hyades  	072.12805	+16.38840	11.649	20.758	 0.030	072.12805	+16.38840
072.7605300	+14.9712000	   3404798597640071296	Hyades  	072.76053	+14.97120	10.982	23.869	 0.188	072.76053	+14.97120
072.6413000	+15.0833500	   3404812685132622592	Hyades  	072.64130	+15.08335	 7.556	20.958	 0.136	072.64130	+15.08335
072.8470200	+15.4333900	   3404850790082434176	Hyades  	072.84702	+15.43339	 7.760	16.202	 0.023	072.84702	+15.43339
071.3860400	+16.5981400	   3405952363294872960	Hyades  	071.38604	+16.59814	15.319	18.784	 0.057	071.38604	+16.59814
072.5033500	+16.4119400	   3405988677241799040	Hyades  	072.50335	+16.41194	10.176	20.250	 0.014	072.50335	+16.41194
072.4027800	+17.0329400	   3406094750050845696	Hyades  	072.40278	+17.03294	14.786	19.812	 0.023	072.40278	+17.03294
065.8852100	+14.6704000	   3311148828615843328	Hyades  	065.88521	+14.67040	 8.877	21.451	 0.043	065.88521	+14.67040
063.7938800	+14.3983800	   3311492803955469696	Hyades  	063.79388	+14.39838	10.930	20.844	 0.023	063.79388	+14.39838
066.5200600	+15.0412900	   3311179340063437952	Hyades  	066.52006	+15.04129	11.467	21.005	 0.116	066.52006	+15.04129
063.6073600	+14.6249700	   3311514210073309056	Hyades  	063.60736	+14.62497	 8.290	20.259	 0.068	063.60736	+14.62497
066.4606600	+15.0024700	   3311173120950799872	Hyades  	066.46066	+15.00247	14.779	21.216	 0.017	066.46066	+15.00247
066.5203700	+15.0408000	   3311179340062227200	Hyades  	066.52037	+15.04080	14.713	20.723	 0.104	066.52037	+15.04080
064.4820000	+14.5461900	   3311464182294287104	Hyades  	064.48200	+14.54619	13.772	19.074	 0.022	064.48200	+14.54619
064.1065000	+14.1713200	   3311426420941869952	Hyades  	064.10650	+14.17132	13.935	25.132	 0.019	064.10650	+14.17132
065.7567700	+15.2281200	   3311229745799686912	Hyades  	065.75677	+15.22812	15.172	20.809	 0.050	065.75677	+15.22812
065.6276500	+15.2201700	   3311232425859274368	Hyades  	065.62765	+15.22017	13.466	18.167	 0.028	065.62765	+15.22017
065.2341000	+14.8595000	   3311120722349948672	Hyades  	065.23410	+14.85950	15.158	20.680	 0.060	065.23410	+14.85950
072.7077500	+18.1410400	   3406734906335151872	Hyades  	072.70775	+18.14104	16.393	21.445	 0.027	072.70775	+18.14104
072.2965100	+17.7153300	   3406697179343851136	Hyades  	072.29651	+17.71533	13.014	16.999	 0.023	072.29651	+17.71533
071.9069500	+18.2585800	   3406786445943961088	Hyades  	071.90695	+18.25858	 8.340	20.721	 0.091	071.90695	+18.25858
066.3339400	+23.1084900	    146160558879786624	Hyades  	066.33394	+23.10849	12.040	18.688	 0.010	066.33394	+23.10849
068.2714000	+23.5548300	    146057617101593856	Hyades  	068.27140	+23.55483	14.943	19.680	 0.127	068.27140	+23.55483
063.7097500	+24.3768500	    149956519694104704	Hyades  	063.70975	+24.37685	15.743	19.723	 0.018	063.70975	+24.37685
070.4456500	+07.2757000	   3289131211348832000	Hyades  	070.44565	+07.27570	14.513	18.779	 0.055	070.44565	+07.27570
078.1008500	+18.4022100	   3395542393360089728	Hyades  	078.10085	+18.40221	12.660	18.641	 0.047	078.10085	+18.40221
078.1004300	+18.4022800	   3395542393361639424	Hyades  	078.10043	+18.40228	12.578	18.873	 0.063	078.10043	+18.40228
066.0314600	+22.1186800	    145664777917536512	Hyades  	066.03146	+22.11868	10.499	21.828	 0.011	066.03146	+22.11868
066.5774300	+22.8133800	    145727729254950912	Hyades  	066.57743	+22.81338	 4.148	22.007	 0.069	066.57743	+22.81338
066.3428400	+22.2936800	    145674574739951872	Hyades  	066.34284	+22.29368	 4.113	20.771	 0.249	066.34284	+22.29368
065.9897200	+22.1813800	    145668974102570624	Hyades  	065.98972	+22.18138	13.845	23.152	 0.050	065.98972	+22.18138
063.6247900	+18.7298900	     48455894049191424	Hyades  	063.62479	+18.72989	13.221	20.840	 0.042	063.62479	+18.72989
063.6889100	+19.0638400	     48482454126911360	Hyades  	063.68891	+19.06384	14.995	19.105	 0.023	063.68891	+19.06384
062.7760400	+18.9289700	     48509186003340416	Hyades  	062.77604	+18.92897	14.219	19.738	 0.015	062.77604	+18.92897
064.4127800	+16.9477300	     45788547559850496	Hyades  	064.41278	+16.94773	 8.098	21.330	 0.025	064.41278	+16.94773
062.3709300	+17.1316800	     45980377978968064	Hyades  	062.37093	+17.13168	15.378	19.891	 0.047	062.37093	+17.13168
062.0468700	+16.8729600	     45968901826385024	Hyades  	062.04687	+16.87296	10.819	24.965	 0.038	062.04687	+16.87296
063.8956800	+16.7622900	     45770783575075968	Hyades  	063.89568	+16.76229	13.999	20.906	 0.038	063.89568	+16.76229
064.3849200	+16.9496100	     45789269114357632	Hyades  	064.38492	+16.94961	16.594	23.031	 0.041	064.38492	+16.94961
064.0065800	+16.9829700	     45845378567048320	Hyades  	064.00658	+16.98297	13.780	21.663	 0.053	064.00658	+16.98297
068.1710200	+19.1133400	   3410640887035452928	Hyades  	068.17102	+19.11334	10.120	19.041	 0.015	068.17102	+19.11334
068.1581900	+19.0465300	   3410639993682264960	Hyades  	068.15819	+19.04653	13.766	23.191	 0.018	068.15819	+19.04653
069.2717200	+22.8571300	    145168558871003776	Hyades  	069.27172	+22.85713	17.347	20.897	 0.042	069.27172	+22.85713
069.1589400	+23.0417600	    145218857232329472	Hyades  	069.15894	+23.04176	13.094	22.438	 0.016	069.15894	+23.04176
072.2674500	+08.9812600	   3292741835736351616	Hyades  	072.26745	+08.98126	15.979	23.361	 0.021	072.26745	+08.98126
070.2173000	+09.0875800	   3292663564251652608	Hyades  	070.21730	+09.08758	14.819	22.423	 0.018	070.21730	+09.08758
067.9321900	+21.1544700	    144574788234755200	Hyades  	067.93219	+21.15447	15.879	16.537	 0.043	067.93219	+21.15447
067.9307000	+21.1530900	    144574788234755584	Hyades  	067.93070	+21.15309	15.944	16.410	 0.037	067.93070	+21.15309
067.4063400	+21.6684400	    144663157183364864	Hyades  	067.40634	+21.66844	13.027	23.434	 0.043	067.40634	+21.66844
066.6989500	+21.2347200	    144534724778235392	Hyades  	066.69895	+21.23472	10.681	23.149	 0.013	066.69895	+21.23472
074.3273000	+21.6022100	   3412163946860515712	Hyades  	074.32730	+21.60221	15.393	16.222	 0.043	074.32730	+21.60221
074.0699100	+21.3670300	   3412131068887787776	Hyades  	074.06991	+21.36703	14.047	18.941	 0.033	074.06991	+21.36703
055.4819200	+18.7598100	     44894472808190720	Hyades  	055.48192	+18.75981	12.246	24.181	 0.021	055.48192	+18.75981
065.7500500	+13.3162000	   3310348551653256448	Hyades  	065.75005	+13.31620	12.685	18.761	 0.012	065.75005	+13.31620
064.5358900	+13.3310900	   3310478710637938560	Hyades  	064.53589	+13.33109	14.082	20.757	 0.012	064.53589	+13.33109
064.5362800	+13.3312600	   3310478710637066752	Hyades  	064.53628	+13.33126	13.955	20.805	 0.039	064.53628	+13.33126
064.6765100	+12.5106400	   3310178784482082816	Hyades  	064.67651	+12.51064	14.146	20.804	 0.021	064.67651	+12.51064
070.1545900	+16.6356400	   3310131711641618816	Hyades  	070.15459	+16.63564	16.148	20.185	 0.039	070.15459	+16.63564
069.9832700	+21.4942300	   3411434528270795648	Hyades  	069.98327	+21.49423	12.747	16.115	 0.013	069.98327	+21.49423
065.3823500	+21.0397200	     49231668222673920	Hyades  	065.38235	+21.03972	 6.671	20.466	 0.033	065.38235	+21.03972
065.6791000	+20.5699900	     49157794785448192	Hyades  	065.67910	+20.56999	13.462	21.950	 0.115	065.67910	+20.56999
063.8863100	+20.8075200	     49341619383660288	Hyades  	063.88631	+20.80752	16.022	22.923	 0.072	063.88631	+20.80752
063.9273300	+20.8196500	     49365087086285184	Hyades  	063.92733	+20.81965	 7.635	20.775	 0.065	063.92733	+20.81965
063.8862700	+20.8072900	     49341619384983936	Hyades  	063.88627	+20.80729	16.101	23.148	 0.056	063.88627	+20.80729
065.4416200	+20.3955500	     49131681384221952	Hyades  	065.44162	+20.39555	17.965	20.180	 0.094	065.44162	+20.39555
065.4353500	+20.4027600	     49131681384221184	Hyades  	065.43535	+20.40276	17.269	20.166	 0.084	065.43535	+20.40276
064.2360600	+20.8765700	     49324572659092992	Hyades  	064.23606	+20.87657	17.761	21.872	 0.092	064.23606	+20.87657
064.6903700	+21.0315800	     49407521363733632	Hyades  	064.69037	+21.03158	16.857	23.315	 0.090	064.69037	+21.03158
079.7313900	+08.4540600	   3242232470578902656	Hyades  	079.73139	+08.45406	16.561	18.167	 0.020	079.73139	+08.45406
077.4185600	+08.2140100	   3242022670016700672	Hyades  	077.41856	+08.21401	13.624	19.898	 0.043	077.41856	+08.21401
077.8308500	+07.9089100	   3241952369992171904	Hyades  	077.83085	+07.90891	10.763	17.447	 0.009	077.83085	+07.90891
079.3672400	+11.7907100	   3387573300585597184	Hyades  	079.36724	+11.79071	11.860	17.185	 0.024	079.36724	+11.79071
080.1061600	+11.6097600	   3387381646261643776	Hyades  	080.10616	+11.60976	 8.840	17.801	 0.014	080.10616	+11.60976
067.7328800	+24.8379100	    147877549363243520	Hyades  	067.73288	+24.83791	14.698	22.188	 0.016	067.73288	+24.83791
068.1893100	+25.0925600	    147908438767993216	Hyades  	068.18931	+25.09256	15.268	18.394	 0.020	068.18931	+25.09256
058.1715400	+25.8042200	     67351757289092224	Hyades  	058.17154	+25.80422	10.573	22.535	 0.022	058.17154	+25.80422
055.9468200	+20.8599500	     63395989328447232	Hyades  	055.94682	+20.85995	13.337	22.100	 0.023	055.94682	+20.85995
059.8098100	+22.0436700	     53257461329357312	Hyades  	059.80981	+22.04367	12.076	24.640	 0.027	059.80981	+22.04367
070.2387200	+04.8485000	   3282562625805170304	Hyades  	070.23872	+04.84850	15.613	16.924	 0.172	070.23872	+04.84850
069.4341900	+04.9018900	   3282226793722500224	Hyades  	069.43419	+04.90189	13.522	21.095	 0.026	069.43419	+04.90189
072.9552800	+17.2736000	   3406431406767566464	Hyades  	072.95528	+17.27360	10.852	18.387	 0.044	072.95528	+17.27360
073.0916700	+17.1740600	   3406417903390509056	Hyades  	073.09167	+17.17406	15.688	21.890	 0.041	073.09167	+17.17406
071.8127500	+17.3303100	   3406284725043872256	Hyades  	071.81275	+17.33031	17.278	22.725	 0.127	071.81275	+17.33031
071.7064700	+17.7481900	   3406380176397016576	Hyades  	071.70647	+17.74819	 9.277	20.656	 0.051	071.70647	+17.74819
064.1399800	+21.9073000	     52548241968465408	Hyades  	064.13998	+21.90730	 8.923	19.571	 0.003	064.13998	+21.90730
062.6567400	+21.6025000	     52640154268714496	Hyades  	062.65674	+21.60250	16.324	20.687	 0.068	062.65674	+21.60250
058.9888500	+18.4321500	     49968306654050944	Hyades  	058.98885	+18.43215	13.017	22.844	 0.033	058.98885	+18.43215
074.7633800	+12.2624000	   3295377880503113216	Hyades  	074.76338	+12.26240	15.075	22.494	 0.035	074.76338	+12.26240
072.1920200	+11.3856400	   3295557581935254144	Hyades  	072.19202	+11.38564	16.275	22.331	 0.054	072.19202	+11.38564
067.7963600	+16.3957700	   3312882483575093760	Hyades  	067.79636	+16.39577	13.815	20.262	 0.024	067.79636	+16.39577
067.4827400	+16.9139200	   3312960205303089664	Hyades  	067.48274	+16.91392	11.971	22.803	 0.017	067.48274	+16.91392
066.9000200	+15.5890900	   3312709379213017728	Hyades  	066.90002	+15.58909	 7.274	20.952	 0.019	066.90002	+15.58909
067.2511000	+16.3462200	   3312904233289409152	Hyades  	067.25110	+16.34622	13.095	21.362	 0.016	067.25110	+16.34622
067.4910100	+16.6727200	   3312951748510907648	Hyades  	067.49101	+16.67272	 8.853	21.897	 0.001	067.49101	+16.67272
067.6406100	+16.1939000	   3312849326426255616	Hyades  	067.64061	+16.19390	 4.707	21.867	 0.094	067.64061	+16.19390
066.9202000	+16.2486100	   3312908906213736320	Hyades  	066.92020	+16.24861	14.326	18.743	 0.028	066.92020	+16.24861
067.2190500	+15.9814800	   3312842042162993536	Hyades  	067.21905	+15.98148	11.246	22.235	 0.026	067.21905	+15.98148
067.1660600	+15.8707900	   3312744219987686144	Hyades  	067.16606	+15.87079	 3.307	20.879	 0.324	067.16606	+15.87079
067.0458100	+16.4708000	   3312921378798754304	Hyades  	067.04581	+16.47080	10.502	23.580	 0.047	067.04581	+16.47080
