#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T09:33:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c079b660d87
#INFO	-out.max=100
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=100
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/152/113&tab:{J/AJ/152/113/table3}&key:source=J/AJ/152/113/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/152/113/table3
#-order=I
#-out=EPIC
#-out=f_EPIC
#-out=t
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=OName
#-out=Vmag
#-out=Ksmag
#-out=(V-K)0
#-out=Mm
#-out=PapIII
#

#RESOURCE=yCat_51520113
#Name: J/AJ/152/113
#Title: Pleiades members with K2 light curves. I. Periods (Rebull+, 2016)
#Table	J_AJ_152_113_table3:
#Name: J/AJ/152/113/table3
#Title: Supporting data for Pleiades members not detected to be periodic in the K2 data
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	EPIC	(I9)	Number in the Ecliptic Plane Input Catalog (EPIC) for K2	[ucd=meta.id;meta.main]
#Column	f_EPIC	(A1)	[a] Flag if not recovered literature period (1)	[ucd=meta.code]
#Column	t	(A1)	Indicates an object which the light curve suggests a "timescale" (table4)	[ucd=meta.ref.url]
#Column	Name	(A18)	Position based name (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	OName	(a23)	Other identifier	[ucd=meta.id]
#Column	Vmag	(F5.2)	[6.8/20.8]? The V-band magnitude (in Vega mag), if observed (G1)	[ucd=phot.mag;em.opt.V]
#Column	Ksmag	(F5.2)	[6.4/14.5] The 2MASS Ks (K-short) band magnitude (in Vega mag), if observed (G1)	[ucd=phot.mag;em.IR.K]
#Column	(V-K)0	(F5.2)	[-0.2/9.3] Dereddened V-Ks, (V-K_s_)_0_, color index (directly observed, if V and K_s_ exist, or inferred) (G1)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	Mm	(A4)	Pleiades membership indicator (best or ok) (G2)	[ucd=meta.code.member;instr.setup]
#Column	PapIII	(I3)	Indicates a Pleiades star in Paper III (Stauffer et al. 2016, Cat. J/AJ/152/115) [NULL integer written as an empty string]	[ucd=meta.number]
deg	deg	 	 	 	 	deg	deg	 	mag	mag	mag
_RAJ2000	_DEJ2000	EPIC	f_EPIC	t	Name	RAJ2000	DEJ2000	OName	Vmag	Ksmag	(V-K)0	Mm	PapIII
056.5666800	+24.1898400	211076042	 	 	034616.00+241123.4	056.56668	+24.18984	HD23479+ADS2755A=HII956	 7.96	 7.11	 0.74	best	  1
056.6136700	+24.2550300	211080301	 	 	034627.28+241518.1	056.61367	+24.25503	HD23489=HII1028        	 7.35	 7.08	 0.16	best	  1
056.6334300	+24.4762300	211094556	a	 	034632.02+242834.4	056.63343	+24.47623	BPL106                 	     	14.24	 6.67	best	  1
056.6425200	+23.6240100	211040918	 	 	034634.20+233726.4	056.64252	+23.62401	HII1084                	     	 7.06	 0.15	best	  1
056.6790700	+24.4141000	211090558	 	 	034642.97+242450.7	056.67907	+24.41410	BPL108                 	     	14.42	 9.21	best	  1
056.7514800	+23.8801000	211056608	 	 	034700.35+235248.3	056.75148	+23.88010	UGCSJ034700.35+235248.1	     	13.10	 6.24	best	  1
056.7722600	+20.4443200	210837725	 	t	034705.34+202639.5	056.77226	+20.44432	s4798986               	     	10.61	 4.62	ok  	  1
056.7892100	+24.2597000	211080604	 	 	034709.41+241534.9	056.78921	+24.25970	HHJ37                  	19.71	13.56	 6.04	best	  1
056.7990900	+24.2254100	211078329	 	 	034711.78+241331.4	056.79909	+24.22541	BPL130                 	     	13.88	 7.18	best	  1
056.7994000	+24.2316500	211078745	 	 	034711.85+241353.9	056.79940	+24.23165	DH499                  	     	13.13	 6.26	best	  1
056.8306200	+24.1391200	211072836	 	 	034719.34+240820.8	056.83062	+24.13912	HII1362                	 8.25	 7.64	 0.50	best	  1
056.8373400	+23.8033600	211051770	 	 	034720.96+234812.0	056.83734	+23.80336	HII1380                	 6.99	 6.89	-0.01	best	  1
056.8502200	+24.5884700	211101694	 	 	034724.05+243518.4	056.85022	+24.58847	HII1384                	 7.66	 7.00	 0.55	best	  1
056.8727400	+24.2883400	211082420	 	 	034729.45+241718.0	056.87274	+24.28834	HII1431                	 6.81	 6.61	 0.09	best	  1
056.9351000	+24.6155700	211103431	 	 	034744.42+243656.0	056.93510	+24.61557	UGCSJ034744.44+243655.6	     	13.15	 5.14	ok  	  1
057.0367100	+25.0293900	211127791	 	 	034808.81+250145.8	057.03671	+25.02939	BPL167                 	16.19	11.25	 4.83	best	  1
057.0595700	+24.2641200	211080885	 	 	034814.29+241550.8	057.05957	+24.26412	BPL169                 	     	14.24	 6.56	best	  1
057.1778400	+24.4554500	211093202	 	 	034842.68+242719.6	057.17784	+24.45545	HHJ44                  	19.29	13.49	 5.69	best	  1
057.3129800	+24.6063100	211102810	 	 	034915.11+243622.7	057.31298	+24.60631	BPL202                 	     	14.48	 7.31	best	  1
057.3405700	+24.3809700	211088413	 	 	034921.73+242251.4	057.34057	+24.38097	HD23873=HII2263        	     	 6.65	-0.17	best	  1
057.4004700	+23.9398400	211060530	a	 	034936.11+235623.4	057.40047	+23.93984	HCG373                 	17.46	12.28	 5.07	best	  1
057.4205000	+23.3416100	211023311	 	 	034940.91+232029.7	057.42050	+23.34161	HD23924=HII2415        	 8.10	 7.65	 0.34	best	  1
057.5524700	+23.8136400	211052416	 	 	035012.59+234849.1	057.55247	+23.81364	DH660                  	     	13.59	 5.85	best	  1
058.0366900	+20.4386000	210837336	 	t	035208.80+202618.9	058.03669	+20.43860	PELS063                	11.93	 9.14	 2.68	ok  	  1
058.1758000	+25.1784500	211136223	 	 	035242.19+251042.4	058.17580	+25.17845	DH762                  	     	13.77	 5.78	best	  1
058.2260000	+25.2954200	211142460	 	 	035254.23+251743.5	058.22600	+25.29542	HCG464                 	     	12.46	 5.21	best	  1
058.2811300	+25.3009900	211142730	 	 	035307.47+251803.5	058.28113	+25.30099	BPL279                 	     	13.59	 6.35	ok  	  1
058.3402800	+24.0574500	211067949	 	 	035321.66+240326.8	058.34028	+24.05745	BPL282                 	     	13.25	 5.99	best	  1
058.3503300	+19.4213600	210770541	 	 	035324.07+192516.8	058.35033	+19.42136	s4543478               	     	11.29	 5.03	best	  1
058.4501900	+23.8194100	211052796	 	 	035348.04+234909.8	058.45019	+23.81941	HHJ28                  	     	13.51	 6.54	best	  1
059.0432600	+23.0400400	211004088	 	 	035610.38+230224.1	059.04326	+23.04004	                       	     	11.62	 4.59	best	  1
059.2179400	+25.1681500	211135624	 	 	035652.30+251005.3	059.21794	+25.16815	HHJ17                  	20.74	13.98	 6.65	best	  1
059.2378400	+24.8096400	211115160	 	 	035657.08+244834.7	059.23784	+24.80964	HCG511                 	16.04	11.23	 4.70	best	  1
059.5580200	+25.1077000	211132306	 	 	035813.92+250627.7	059.55802	+25.10770	s5305712               	     	11.41	 4.85	ok  	  1
059.7085600	+21.6148000	210914325	 	 	035850.05+213653.2	059.70856	+21.61480	UGCSJ035850.06+213652.8	     	13.19	 6.58	best	  1
059.7349900	+24.3090100	211083805	 	 	035856.39+241832.4	059.73499	+24.30901	HHJ292ab               	     	12.21	 5.15	best	  1
059.8721500	+21.6656700	210917578	 	 	035929.31+213956.4	059.87215	+21.66567	DH878                  	     	13.61	 6.08	best	  1
059.9828900	+25.6641800	211162249	 	 	035955.89+253951.0	059.98289	+25.66418	                       	     	12.07	 5.08	best	  1
060.0704900	+23.4397500	211029542	 	 	040016.91+232623.0	060.07049	+23.43975	UGCSJ040016.93+232622.5	     	12.32	 4.91	best	  1
060.2741400	+23.5789700	211038138	 	t	040105.79+233444.3	060.27414	+23.57897	UGCSJ040105.81+233443.8	     	12.33	 5.01	best	  1
060.4982200	+25.3201600	211143760	 	 	040159.57+251912.5	060.49822	+25.32016	DH902                  	     	14.22	 5.85	best	  1
060.9340200	+22.9443000	210998086	 	 	040344.16+225639.4	060.93402	+22.94430	PELS174                	 9.73	 8.18	 1.44	best	  1
061.1549000	+23.3976400	211026906	 	t	040437.17+232351.5	061.15490	+23.39764	s5092529               	     	11.36	 4.67	best	  1

