#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T08:37:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c0785e20a08
#INFO	-out.max=9999
#INFO	queryParameters=30
#-oc.form=dec
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJ/839/92&tab:{J/ApJ/839/92/table1}&key:source=J/ApJ/839/92/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/839/92/table1
#-order=I
#-out=EPIC
#-out=RAJ2000
#-out=DEJ2000
#-out=Ksmag
#-out=V-Ks
#-out=PPer
#-out=SPer
#-out=LC
#-out=S/M
#-out=DD
#-out=DDmov
#-out=Shch
#-out=Beat
#-out=CPeak
#-out=Close
#-out=Res
#-out=RV
#-out=C
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_18390092
#Name: J/ApJ/839/92
#Title: Praesepe members with K2 light curve data (Rebull+, 2017)
#Table	J_ApJ_839_92_table1:
#Name: J/ApJ/839/92/table1
#Title: Periods and supporting data for Praesepe members with K2 light curves
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	EPIC	(I9)	Ecliptic Plane Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ksmag	(F5.2)	[6/15.4]? Apparent Ks band Vega magnitude (1)	[ucd=phot.mag;em.IR.K]
#Column	V-Ks	(F5.2)	[0.3/7.8]? The (V-Ks) color index (2)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	PPer	(F7.4)	[0.04/34.3]? Primary period taken to be the rotation period	[ucd=time.period]
#Column	SPer	(F7.4)	[0.04/24.6]? Secondary period	[ucd=time.period]
#Column	LC	(F6.3)	[0/0.3]? LC used as best (4)	[ucd=time.period]
#Column	S/M	(a9)	Single or multi-period star indicator (5)	[ucd=meta.note]
#Column	DD	(A3)	Double-dip LC indicator (163 "yes")	[ucd=meta.code]
#Column	DDmov	(A3)	Moving double-dip LC indicator (121 "yes")	[ucd=meta.code]
#Column	Shch	(A3)	Shape changer indicator (297 "yes")	[ucd=meta.code]
#Column	Beat	(A3)	Full LC has beating visible indicator (77 "yes") (6)	[ucd=meta.code]
#Column	CPeak	(A3)	Complex, structured peak and/or wide peak indicator (68 "yes") (6)	[ucd=meta.code]
#Column	Close	(A3)	Resolved close periods indicator (68 "yes") (6)	[ucd=meta.code]
#Column	Res	(A3)	Resolved distant periods indicator (71 "yes") (6)	[ucd=meta.code]
#Column	RV	(I3)	Display the new Keck radial velocity measured for this star (table 12) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	C	(I3)	Link to other data from this paper (tables 4-6, 9-11) for this star [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
deg	deg	 	"h:m:s"	"d:m:s"	mag	mag	d	d	d
_RAJ2000	_DEJ2000	EPIC	RAJ2000	DEJ2000	Ksmag	V-Ks	PPer	SPer	LC	S/M	DD	DDmov	Shch	Beat	CPeak	Close	Res	RV	C	Simbad
127.5367083	+23.5601111	212173061	08 30 08.81	+23 33 36.4	 9.74	 2.50	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
127.5712500	+15.6625000	211681193	08 30 17.10	+15 39 45.0	13.91	 5.45	 1.6324	       	 0.043	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.6465000	+16.3215278	211729756	08 30 35.16	+16 19 17.5	12.53	 4.68	 2.3891	       	 0.039	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.6610417	+17.4720556	211810915	08 30 38.65	+17 28 19.4	11.82	 4.18	19.2197	       	 0.010	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
127.6774167	+19.3751944	211943375	08 30 42.58	+19 22 30.7	13.77	 5.48	 1.4307	       	 0.028	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.7021250	+21.6125833	212078515	08 30 48.51	+21 36 45.3	14.00	 5.81	 1.3162	       	 0.078	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.7125833	+19.3524444	211941802	08 30 51.02	+19 21 08.8	11.19	 3.57	14.3207	       	 0.035	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.7141667	+18.8976389	211911467	08 30 51.40	+18 53 51.5	13.39	 5.21	 2.1744	       	 0.018	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.7311250	+19.5554722	211955365	08 30 55.47	+19 33 19.7	 9.37	 1.43	 6.8203	       	 0.019	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
127.7323750	+17.1396111	211787610	08 30 55.77	+17 08 22.6	12.46	 4.76	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
127.7400000	+20.6624444	212024569	08 30 57.60	+20 39 44.8	11.72	 3.69	15.3935	       	 0.005	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
127.7455000	+18.6947500	211897821	08 30 58.92	+18 41 41.1	11.59	 3.83	16.7230	       	 0.011	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
127.7508333	+19.4044444	211945337	08 31 00.20	+19 24 16.0	13.99	 5.70	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.7816250	+16.5844444	211748286	08 31 07.59	+16 35 04.0	12.62	 5.50	 9.0389	       	 0.031	single   	yes	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.7935000	+21.5895556	212077235	08 31 10.44	+21 35 22.4	11.21	 2.83	32.2096	       	 0.010	single   	yes	no 	yes	no 	no 	no 	no 	  0	  1	Simbad
127.7943333	+20.6642222	212024672	08 31 10.64	+20 39 51.2	14.02	 5.41	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.8045833	+20.9000833	212038642	08 31 13.10	+20 54 00.3	12.80	 5.11	18.4233	       	 0.021	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.8205000	+19.3552778	211942008	08 31 16.92	+19 21 19.0	11.89	 4.73	23.1920	 2.7498	 0.008	multi    	no 	no 	no 	no 	no 	no 	yes	  0	  0	Simbad
127.8405000	+22.0475833	212101360	08 31 21.72	+22 02 51.3	 9.23	 1.39	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.8620833	+18.6823333	211896957	08 31 26.90	+18 40 56.4	13.32	 6.47	 0.2383	 0.4392	 0.023	multi    	no 	no 	no 	no 	no 	no 	yes	  0	  0	Simbad
127.8744583	+20.4104167	212009427	08 31 29.87	+20 24 37.5	10.77	 4.02	 1.5574	       	 0.044	single   	no 	no 	no 	no 	no 	no 	no 	  0	  2	Simbad
127.8744583	+21.4441111	212069380	08 31 29.87	+21 26 38.8	14.80	 6.60	 0.2672	       	 0.124	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.8935417	+17.3065278	211799259	08 31 34.45	+17 18 23.5	14.37	 5.56	 0.5752	       	 0.029	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.8997500	+20.4053333	212009131	08 31 35.94	+20 24 19.2	14.18	 6.08	 0.2431	 0.2898	 0.049	multi    	no 	no 	no 	no 	no 	yes	no 	  0	  0	Simbad
127.9185417	+19.7983889	211971354	08 31 40.45	+19 47 54.2	11.03	 4.15	 8.2967	 9.3744	 0.035	multi    	no 	no 	no 	yes	yes	yes	yes	  0	  1	Simbad
127.9466250	+18.0562222	211852745	08 31 47.19	+18 03 22.4	13.85	 5.49	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
127.9761250	+18.7600278	211902283	08 31 54.27	+18 45 36.1	13.76	 5.16	 2.1775	       	 0.029	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0078333	+19.9797500	211983023	08 32 01.88	+19 58 47.1	13.21	 5.19	22.9460	       	 0.011	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0113333	+20.7724167	212031039	08 32 02.72	+20 46 20.7	13.25	 5.33	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0222500	+19.3001389	211938397	08 32 05.34	+19 18 00.5	11.79	 3.33	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0304167	+19.6066667	211958800	08 32 07.30	+19 36 24.0	14.44	 5.70	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0331250	+18.7407500	211900943	08 32 07.95	+18 44 26.7	12.57	 4.84	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0410000	+15.8578611	211695681	08 32 09.84	+15 51 28.3	14.82	 6.22	 1.7667	       	 0.064	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0744167	+19.5470833	211954836	08 32 17.86	+19 32 49.5	13.02	 5.12	24.2728	       	 0.019	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0787083	+19.0523889	211921859	08 32 18.89	+19 03 08.6	12.83	 4.95	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.0925000	+17.9130278	211842313	08 32 22.20	+17 54 46.9	 9.11	 1.31	 2.3904	 2.9778	 0.001	multi    	no 	no 	no 	yes	no 	yes	no 	  0	  0	Simbad
128.1351667	+20.8447222	212035441	08 32 32.44	+20 50 41.0	12.72	 4.68	16.8542	       	 0.026	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.1392083	+20.0800833	211989185	08 32 33.41	+20 04 48.3	10.63	 2.66	11.7041	       	 0.013	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
128.1397083	+21.7757778	212087322	08 32 33.53	+21 46 32.8	14.07	 6.31	 1.8118	       	 0.034	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.1468333	+18.7360000	211900653	08 32 35.24	+18 44 09.6	13.95	 5.63	 1.9178	       	 0.018	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.1523750	+23.3907222	212165910	08 32 36.57	+23 23 26.6	12.66	 4.79	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.1867083	+18.0361389	211851325	08 32 44.81	+18 02 10.1	11.75	 4.92	 1.1687	 3.9818	 0.019	multi    	no 	no 	no 	yes	no 	no 	yes	  0	  0	Simbad
128.1949583	+19.9976944	211984130	08 32 46.79	+19 59 51.7	12.95	 4.97	29.5905	       	 0.056	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2032083	+18.6779722	211896670	08 32 48.77	+18 40 40.7	12.47	 5.23	 6.9619	       	 0.031	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2071250	+18.7017222	211898294	08 32 49.71	+18 42 06.2	10.06	 2.98	17.8079	       	 0.007	single   	yes	yes	yes	no 	no 	no 	no 	  1	  1	Simbad
128.2176250	+19.9766389	211982810	08 32 52.23	+19 58 35.9	10.56	 2.49	11.3230	       	 0.017	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
128.2212500	+18.5081389	211884968	08 32 53.10	+18 30 29.3	12.27	 4.44	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
128.2318750	+18.7328056	211900414	08 32 55.65	+18 43 58.1	10.60	 2.44	10.9654	       	 0.001	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
128.2419583	+22.2056389	212109351	08 32 58.07	+22 12 20.3	12.87	 4.68	10.5697	       	 0.018	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
128.2461250	+17.3065278	211799258	08 32 59.07	+17 18 23.5	12.19	 4.84	24.0487	       	 0.015	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2482500	+20.1207778	211991806	08 32 59.58	+20 07 14.8	13.90	 5.59	 0.3627	       	 0.021	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2515833	+20.7194444	212027909	08 33 00.38	+20 43 10.0	11.98	 4.90	14.6658	       	 0.037	single   	yes	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2601250	+18.8510833	211908380	08 33 02.43	+18 51 03.9	13.51	 4.90	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2620417	+18.6826111	211896979	08 33 02.89	+18 40 57.4	10.68	 2.65	13.1088	       	 0.006	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
128.2732083	+18.9301944	211913733	08 33 05.57	+18 55 48.7	12.19	 4.98	12.5740	       	 0.014	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
128.2739583	+19.0411111	211921097	08 33 05.75	+19 02 28.0	14.63	 5.74	 0.4626	       	 0.052	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2768750	+18.6948889	211897829	08 33 06.45	+18 41 41.6	12.59	 4.64	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2790833	+17.7116944	211827807	08 33 06.98	+17 42 42.1	13.34	 5.42	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2800833	+17.1044444	211785147	08 33 07.22	+17 06 16.0	14.10	 6.41	 0.3310	       	 0.035	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
128.2810833	+20.1300556	211992423	08 33 07.46	+20 07 48.2	10.93	 2.93	12.8959	       	 0.006	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
128.2821667	+18.7543611	211901894	08 33 07.72	+18 45 15.7	13.57	 5.11	 1.6660	       	 0.016	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
