#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T07:43:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c0781329338
#INFO	-out.max=200
#INFO	queryParameters=37
#-oc.form=dec
#-out.max=200
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/145/134&tab:{J/AJ/145/134/table3}&key:source=J/AJ/145/134&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/134/table3
#-order=I
#-out=Star
#-out=2MASS
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=g'mag
#-out=g'-i'
#-out=Jmag
#-out=f_Jmag
#-out=J-K
#-out=RV1
#-out=RV2
#-out=Mm
#-out=Mpm
#-out=Mv1
#-out=Mv2
#-out=Mjk
#-out=Mgi
#-out=u_Type
#-out=Type
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51450134
#Name: J/AJ/145/134
#Title: Radial velocities of 108 stars in Ruprecht 147 (Curtis+, 2013)
#Table	J_AJ_145_134_table3:
#Name: J/AJ/145/134/table3
#Title: Radial velocities, proper motions and membership in Ruprecht 147
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Star	(I3)	[1/108] Running star number (1)	[ucd=meta.id;meta.main]
#Column	2MASS	(A16)	2MASS identifier (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F4.1)	Proper motion in Right Ascension (2)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	1-{sigma} uncertainty in pmRA (2)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion in Declination (2)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	1-{sigma} uncertainty in pmDE (2)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	g'mag	(F5.2)	? CFHT/MegaCam g' magnitude	[ucd=phot.mag;em.opt.B]
#Column	g'-i'	(F5.2)	? CFHT/MegaCam (g'-i') color index	[ucd=phot.color]
#Column	Jmag	(F5.2)	2MASS J magnitude (from cat. II/246) (3)	[ucd=phot.mag;em.IR.J]
#Column	f_Jmag	(A1)	[e] Probable binary (star #51) (4)	[ucd=meta.code]
#Column	J-K	(F5.2)	2MASS (J-Ks) color index (from cat. II/246) (3)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	RV1	(F4.1)	? Lick/Palomar radial velocity	[ucd=spect.dopplerVeloc]
#Column	RV2	(F4.1)	? Hectochelle radial velocity	[ucd=spect.dopplerVeloc]
#Column	Mm	(A1)	[NPY] Overall membership probability (5)	[ucd=meta.code.member]
#Column	Mpm	(A1)	[NPY] Membership probability assigned to proper motion radial distance from cluster value (5)	[ucd=meta.code.member]
#Column	Mv1	(A1)	[NPY] Membership probability assigned to Lick/Palomar radial velocities (5)	[ucd=meta.code.member]
#Column	Mv2	(A1)	[NPY] Membership probability assigned to Hectochelle radial velocities (5)	[ucd=meta.code.member]
#Column	Mjk	(A1)	[NPYB] Membership probability assigned to 2MASS (J-Ks) color-magnitude diagram (5)	[ucd=meta.code.member]
#Column	Mgi	(A1)	[NPYB] Membership probability assigned to CFHT/MegaCam (g'-i') color-magnitude diagram (5)	[ucd=meta.code.member]
#Column	u_Type	(A1)	[?] Uncertainty flag on Type (?)	[ucd=meta.note]
#Column	Type	(a7)	Star classification (6)	[ucd=meta.code.class]
#Column	M	(A1)	Display what exists in VizieR at this position (within 1.5)	[ucd=meta.code.member]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from 2MASS name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from 2MASS name (declination part)	[ucd=pos.eq.dec;meta.main]
deg	deg	 	 	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	mag	 	mag	km/s	km/s	 	 	 	 	 	 	 	 	 	 	deg	deg
289.0360417	-16.1874444	 20	19160865-1611148	-3.4	 1.6	-29.3	 1.8	10.25	 0.57	 8.63	 	 0.33	41.8	41.7	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.03604	-16.18744
288.3425000	-16.7526667	 21	19132220-1645096	-5.4	 1.5	-29.1	 1.6	10.28	 0.51	 8.74	 	 0.37	41.9	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.34250	-16.75267
289.3492500	-16.2135556	 22	19172382-1612488	-1.7	 1.7	-30.8	 1.8	10.31	 0.42	 9.26	 	 0.44	51.9	38.2	P	Y	N	N	Y	Y	 	SB1    	M	Simbad	289.34925	-16.21356
288.9278750	-16.5513889	 23	19154269-1633050	-1.8	 2.2	-30.3	 2.3	11.67	 0.44	10.38	 	 0.32	34.7	41.2	Y	Y	N	Y	Y	Y	 	SB1?   	M	Simbad	288.92787	-16.55139
289.3693750	-16.5586944	 24	19172865-1633313	 1.1	 1.7	-27.6	 1.8	10.29	 0.40	 9.11	 	 0.21	41.8	    	Y	Y	Y	 	Y	B	?	BS     	M	Simbad	289.36937	-16.55869
288.4020000	-15.8028889	 25	19133648-1548104	-1.4	 1.4	-28.5	 1.5	10.53	 0.80	 8.34	 	 0.61	40.7	    	Y	Y	Y	 	Y	Y	 	RG     	M	Simbad	288.40200	-15.80289
288.8867500	-16.3441111	 26	19153282-1620388	 0.2	 1.8	-27.1	 2.0	10.51	 0.44	 9.03	 	 0.31	46.1	42.0	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.88675	-16.34411
289.3326667	-16.1273056	 27	19171984-1607383	-2.0	 1.9	-30.8	 2.0	10.46	 0.58	 8.96	 	 0.29	48.3	48.4	P	Y	P	N	Y	Y	 	       	M	Simbad	289.33267	-16.12731
288.8599167	-17.0044167	 28	19152638-1700159	-2.1	 2.0	-29.6	 2.3	10.53	 0.56	 9.08	 	 0.24	43.9	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.85992	-17.00442
289.4137917	-16.6096667	 29	19173931-1636348	 1.2	 1.6	-25.4	 1.6	10.47	 0.57	 9.00	 	 0.33	41.6	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.41379	-16.60967
288.9933750	-16.2571667	 30	19155841-1615258	-2.8	 1.9	-28.9	 2.1	10.57	 0.52	 9.20	 	 0.39	41.4	40.7	Y	Y	Y	Y	P	Y	 	       	M	Simbad	288.99337	-16.25717
289.9647500	-16.0661944	 31	19195154-1603583	-2.4	 2.0	-27.3	 2.2	     	     	 9.05	 	 0.34	41.7	    	Y	Y	Y	 	Y	 	 	       	M	Simbad	289.96475	-16.06619
288.8141667	-16.3310278	 32	19151540-1619517	-1.8	 1.8	-26.8	 2.1	10.70	 0.52	 9.30	 	 0.33	45.9	42.2	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.81417	-16.33103
289.5481250	-16.4872500	 33	19181155-1629141	 1.4	 1.9	-27.0	 1.9	10.66	 0.44	 9.39	 	 0.29	41.2	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.54812	-16.48725
289.2282083	-17.0369167	 34	19165477-1702129	 3.2	 3.2	-28.7	 3.5	10.63	 0.46	 9.41	 	 0.31	45.8	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.22821	-17.03692
289.1656667	-16.4421111	 35	19163976-1626316	 0.1	 1.9	-24.8	 2.1	10.53	 0.55	 9.10	 	 0.32	45.1	41.1	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.16567	-16.44211
288.9010833	-15.9627778	 36	19153626-1557460	-0.7	 1.9	-27.2	 2.1	10.49	 0.53	 9.07	 	 0.31	46.4	41.8	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.90108	-15.96278
289.1393333	-16.1309722	 37	19163344-1607515	-2.5	 2.1	-27.6	 2.2	10.64	 0.49	 9.32	 	 0.36	34.6	41.0	Y	Y	N	Y	Y	Y	 	       	M	Simbad	289.13933	-16.13097
288.6104583	-16.1094444	 38	19142651-1606340	-2.5	 2.0	-27.2	 2.1	10.66	 0.48	 9.33	 	 0.41	45.1	41.2	Y	Y	Y	Y	P	Y	 	       	M	Simbad	288.61046	-16.10944
288.7614583	-16.1612500	 39	19150275-1609405	-5.2	 1.9	-28.3	 2.1	10.66	 0.52	 9.19	 	 0.31	42.7	41.7	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.76146	-16.16125
289.1391250	-16.3393056	 40	19163339-1620215	-3.0	 1.9	-24.9	 2.1	10.62	 0.56	 9.18	 	 0.33	42.1	41.5	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.13912	-16.33931
289.2700417	-16.6146111	 41	19170481-1636526	 4.3	 2.0	-28.6	 2.2	10.61	 0.44	 9.33	 	 0.30	45.9	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.27004	-16.61461
289.6300000	-16.2450278	 42	19183120-1614421	-1.8	 2.2	-26.9	 2.2	10.64	 0.45	 9.32	 	 0.33	44.6	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.63000	-16.24503
289.5022500	-16.6004444	 43	19180054-1636016	 1.3	 1.9	-26.3	 2.0	10.70	 0.46	 9.44	 	 0.27	44.9	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.50225	-16.60044
289.1872917	-17.2853889	 44	19164495-1717074	 2.7	 2.3	-27.2	 2.5	10.97	 0.48	 9.74	 	 0.32	42.2	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.18729	-17.28539
288.7858333	-16.9614444	 45	19150860-1657412	-2.0	 2.0	-30.0	 2.3	10.82	 0.45	 9.50	 	 0.28	45.7	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.78583	-16.96144
289.1468750	-17.0854167	 46	19163525-1705075	 3.7	 2.3	-28.0	 2.6	10.80	 0.46	 9.52	 	 0.30	45.5	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.14687	-17.08542
288.3142083	-16.2700833	 47	19131541-1616123	-5.6	 1.7	-30.0	 1.8	10.78	 0.45	 9.51	 	 0.32	44.5	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.31421	-16.27008
289.1942500	-16.3224444	 48	19164662-1619208	 0.0	 2.1	-26.4	 2.2	10.72	 0.54	 9.34	 	 0.37	46.3	42.3	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.19425	-16.32244
288.6211250	-15.8182222	 49	19142907-1549056	 0.3	 1.9	-25.3	 2.1	10.76	 0.50	 9.36	 	 0.36	46.2	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.62112	-15.81822
289.1222500	-16.7651111	 50	19162934-1645544	-2.4	 2.0	-27.4	 2.3	10.97	 0.37	 9.80	 	 0.30	47.6	    	P	Y	P	 	Y	P	 	       	M	Simbad	289.12225	-16.76511
289.1508333	-16.1267500	 51	19163620-1607363	-3.0	 2.5	-29.5	 2.6	11.02	 0.46	 9.12	e	 0.35	44.9	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.15083	-16.12675
289.0903750	-16.1641667	 52	19162169-1609510	-0.9	 2.1	-27.7	 2.3	10.90	 0.47	 9.59	 	 0.34	39.2	40.1	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.09037	-16.16417
289.1346250	-16.1929444	 53	19163231-1611346	-2.8	 2.2	-29.3	 2.3	10.93	 0.53	 9.60	 	 0.33	46.9	45.2	P	Y	Y	N	Y	P	 	       	M	Simbad	289.13462	-16.19294
289.2322083	-16.0561111	 54	19165573-1603220	-0.8	 2.2	-30.2	 2.4	11.39	 0.42	10.10	 	 0.32	48.9	42.8	Y	Y	P	Y	Y	Y	 	       	M	Simbad	289.23221	-16.05611
289.0188333	-16.0920278	 55	19160452-1605313	-0.6	 2.1	-32.1	 2.2	10.94	 0.44	 9.61	 	 0.30	45.4	41.8	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.01883	-16.09203
290.0217500	-15.5933333	 56	19200522-1535360	 1.1	 1.9	-25.8	 2.0	     	     	 9.83	 	 0.33	40.7	    	Y	Y	Y	 	Y	 	 	       	M	Simbad	290.02175	-15.59333
289.2680417	-16.3884722	 57	19170433-1623185	-0.2	 2.2	-28.6	 2.3	11.23	 0.47	 9.93	 	 0.27	41.9	41.8	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.26804	-16.38847
289.3405000	-15.5997778	 58	19172172-1535592	-0.4	 1.7	-28.1	 1.7	11.27	 0.46	 9.95	 	 0.36	44.6	    	Y	Y	Y	 	P	Y	 	       	M	Simbad	289.34050	-15.59978
288.8025000	-17.0866944	 59	19151260-1705121	 2.9	 2.5	-30.6	 2.7	11.18	 0.48	 9.92	 	 0.24	50.1	    	P	Y	P	 	P	Y	 	       	M	Simbad	288.80250	-17.08669
287.9471250	-16.5468056	 60	19114731-1632485	 0.8	 2.2	-27.1	 2.3	11.31	 0.49	10.09	 	 0.38	43.5	    	Y	Y	Y	 	P	Y	 	       	M	Simbad	287.94712	-16.54681
288.7433333	-16.8358056	 61	19145840-1650089	-4.5	 2.2	-29.1	 2.3	11.18	 0.45	 9.93	 	 0.32	42.2	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.74333	-16.83581
289.2050833	-16.2228333	 62	19164922-1613222	-0.5	 2.2	-24.9	 2.3	11.25	 0.52	 9.84	 	 0.32	45.0	42.5	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.20508	-16.22283
288.8742083	-15.8513056	 63	19152981-1551047	-1.8	 1.7	-26.5	 1.8	11.53	 0.52	10.17	 	 0.33	39.7	41.4	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.87421	-15.85131
288.8527083	-16.8561667	 64	19152465-1651222	-1.5	 2.4	-26.1	 2.5	11.72	 0.64	10.20	 	 0.40	    	    	P	Y	 	P	P	 	 	SB2    	M	Simbad	288.85271	-16.85617
289.1850000	-16.2593889	 65	19164440-1615338	-3.6	 3.7	-23.7	 3.7	13.88	 1.15	11.45	 	 0.68	    	    	Y	Y	 	P	Y	 	 	SB2    	M	Simbad	289.18500	-16.25939
288.7520833	-16.2401389	 66	19150050-1614245	-1.5	 2.2	-27.5	 2.3	11.71	 0.62	10.15	 	 0.36	    	    	P	Y	 	Y	P	 	 	SB2    	M	Simbad	288.75208	-16.24014
288.8124167	-17.3382500	 67	19151498-1720177	-0.1	 2.5	-29.1	 2.8	11.84	 0.75	10.08	 	 0.47	34.7	    	N	Y	N	 	N	N	 	       	M	Simbad	288.81242	-17.33825
289.5223333	-16.7788333	 68	19180536-1646438	 3.4	 3.7	-29.8	 3.7	13.57	 1.00	11.25	 	 0.67	    	    	Y	Y	 	P	Y	 	 	SB2    	M	Simbad	289.52233	-16.77883
289.0776667	-16.1918056	 69	19161864-1611305	-6.8	 2.2	-30.6	 2.3	11.38	 0.51	 9.99	 	 0.37	42.4	37.2	P	P	Y	N	P	Y	 	       	M	Simbad	289.07767	-16.19181
289.1594583	-16.4177500	 70	19163827-1625039	 1.1	 2.2	-29.6	 2.3	11.47	 0.43	10.23	 	 0.30	37.9	38.9	P	Y	P	P	Y	Y	 	       	M	Simbad	289.15946	-16.41775
288.9379583	-16.3876944	 71	19154511-1623157	-0.1	 2.2	-27.0	 2.4	11.93	 0.48	10.57	 	 0.32	41.4	41.1	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.93796	-16.38769
289.2416667	-16.2410278	 72	19165800-1614277	-2.6	 2.3	-30.8	 2.4	12.04	 0.71	10.36	 	 0.40	47.9	46.6	P	Y	P	N	Y	P	 	SB2    	M	Simbad	289.24167	-16.24103
289.0217917	-16.8822500	 73	19160523-1652561	-3.5	 2.4	-26.8	 2.4	11.73	 0.47	10.43	 	 0.33	42.5	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.02179	-16.88225
288.7885417	-15.8733611	 74	19150925-1552241	-0.1	 1.8	-28.6	 1.8	11.55	 0.49	10.23	 	 0.34	42.1	42.2	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.78854	-15.87336
289.0467083	-16.3634722	 75	19161121-1621485	 4.2	 3.6	-25.5	 3.6	13.20	 0.74	11.43	 	 0.52	39.5	42.2	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.04671	-16.36347
288.4305833	-16.8196944	 76	19134334-1649109	 6.6	 3.8	-77.7	 3.8	12.69	 0.68	11.13	 	 0.41	43.5	    	P	N	Y	 	Y	Y	 	       	M	Simbad	288.43058	-16.81969
288.7505000	-16.0976944	 77	19150012-1605517	-0.4	 3.2	-25.0	 3.2	12.12	 0.59	10.56	 	 0.40	50.5	52.6	N	Y	N	N	Y	Y	 	       	M	Simbad	288.75050	-16.09769
289.0366250	-15.4077500	 78	19160879-1524279	-3.8	 2.0	-30.5	 2.1	11.70	 0.51	10.35	 	 0.31	40.8	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.03662	-15.40775
288.6173333	-16.3339722	 79	19142816-1620023	-2.6	 3.0	-28.6	 3.1	12.60	 0.66	11.00	 	 0.40	42.3	42.1	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	288.61733	-16.33397
289.1042083	-16.5338333	 80	19162501-1632018	-2.0	 2.4	-29.5	 2.5	12.13	 0.74	10.38	 	 0.45	41.5	    	P	Y	Y	 	P	P	 	       	M	Simbad	289.10421	-16.53383
288.8290417	-16.6567778	 81	19151897-1639244	-2.1	 2.2	-25.5	 2.4	11.77	 0.51	10.44	 	 0.36	41.2	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.82904	-16.65678
288.8502500	-16.3644167	 82	19152406-1621519	-1.3	 2.4	-29.6	 2.4	11.97	 0.51	10.55	 	 0.36	47.9	42.5	Y	Y	P	Y	Y	Y	 	       	M	Simbad	288.85025	-16.36442
288.4219167	-16.1722500	 83	19134126-1610201	-5.3	 3.2	-29.5	 3.3	12.23	 0.69	10.64	 	 0.44	42.0	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.42192	-16.17225
