#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-17T10:14:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b4dc16c1ff7
#INFO	-out.max=1000
#INFO	queryParameters=25
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/MNRAS/459/1060&tab:{J/MNRAS/459/1060/table2}&key:source=J/MNRAS/459/1060&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/459/1060/table2
#-order=I
#-out=EPIC
#-out=IDX
#-out=Class
#-out=Cat
#-out=Period
#-out=FVI
#-out=Std
#-out=Stdc
#-out=RAJ2000
#-out=DEJ2000
#-out=N16
#N16=N16
#-out=H16
#H16=H16
#-out=SimbadName
#

#RESOURCE=yCat_74591060
#Name: J/MNRAS/459/1060
#Title: M67 variable stars from Kepler/K2-Campaign-5 (Gonzalez, 2016)
#Table	J_MNRAS_459_1060_table2:
#Name: J/MNRAS/459/1060/table2
#Title: Various data for the stars in our working sample
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	EPIC	(I9)	K2 Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	IDX	(A6)	Other identifier	[ucd=meta.id]
#Column	Class	(A2)	Class (1)	[ucd=src.class]
#Column	Cat	(A5)	Category (2)	[ucd=meta.code]
#Column	Period	(F9.6)	Period derived from periodogram d	[ucd=time.period]
#Column	FVI	(F6.2)	Flux variability index	[ucd=meta.code;src.var.index]
#Column	Std	(F7.3)	Standard deviation of flux values mmag	[ucd=stat.stdev;phot.mag]
#Column	Stdc	(F7.3)	Corrected standard deviation mmag	[ucd=stat.stdev;phot.mag]
#Column	RAJ2000	(F10.6)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	N16	(A3)	Display the Nardillo et al. (2016, Cat. J/MNRAS/455/2337) data	[ucd=meta.ref.url]
#Column	H16	(A3)	Display the Huber et al. (2016, Cat. J/ApJS/224/2) data	[ucd=meta.ref.url]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	EPIC	IDX	Class	Cat	Period	FVI	Std	Stdc	RAJ2000	DEJ2000	N16	H16	SimbadName
132.901865	11.50092	211391058	      	  	rot  	18.038887	1.29	23.655	14.983	132.901865	11.50092	N16	H16	EPIC 211391058
132.63272194	11.50209111	211391125	F2112 	SM	rot  	31.506247	3	1.698	1.601	132.632722	11.502091	N16	H16	EPIC 211391125
133.03344611	11.50330111	211391190	      	N 	mult 	0.15377	5.33	34.379	33.768	133.033446	11.503301	N16	H16	EPIC 211391190
133.15725	11.50347111	211391205	      	N 	mult 	16.039469	2.51	3.994	3.665	133.15725	11.503471	N16	H16	EPIC 211391205
132.62399194	11.50351389	211391208	      	M 	rot  	25.84418	2.03	8.521	7.421	132.623992	11.503514	N16	H16	EPIC 211391208
132.66571889	11.50511111	211391297	      	M 	rot  	12.231987	4.72	7.643	7.469	132.665719	11.505111	N16	H16	EPIC 211391297
133.24658389	11.50532611	211391309	      	  	rot  	16.753717	1.58	30.095	23.297	133.246584	11.505326	N16	H16
132.95419194	11.50745889	211391435	      	  	mult 	32.26756	1.78	24.553	20.291	132.954192	11.507459	N16	H16	EPIC 211391435
133.160115	11.50817194	211391478	      	  	rot  	30.984083	2.01	19.012	16.482	133.160115	11.508172	N16	H16	EPIC 211391478
132.42675889	11.50877194	211391516	      	N 	mult 	6.597019	51.98	2.454	2.454	132.426759	11.508772	N16	H16	EPIC 211391516
132.75913806	11.50970111	211391564	      	M 	rot  	28.855915	3.1	14.603	13.825	132.759138	11.509701	N16	H16	EPIC 211391564
132.48890389	11.51020611	211391586	      	  	rot  	18.622885	1.65	17.915	14.226	132.488904	11.510206	N16	H16	EPIC 211391586
132.78845	11.510675	211391621	F3101 	SM	rot  	16.02834	2.63	2.193	2.028	132.78845	11.510675	N16	H16	EPIC 211391621
132.95379611	11.512015	211391723	      	  	rot  	19.226171	1.43	235.018	168.108	132.953796	11.512015	N16	H16
132.726725	11.51274694	211391770	      	  	rot  	30.88172	1.69	15.363	12.385	132.726725	11.512747	N16	H16	EPIC 211391770
133.06142194	11.51870889	211392113	S1575 	SM	mult 	12.83671	3.38	0.36	0.344	133.061422	11.518709	N16	H16	EPIC 211392113
132.73006	11.52070306	211392234	S709  	SM	rot  	26.096712	2.32	0.535	0.483	132.73006	11.520703	N16	H16	EPIC 211392234
132.82429306	11.52191	211392333	      	  	mult 	28.900522	1.46	39.353	28.586	132.824293	11.52191	N16	H16	EPIC 211392333
133.25541611	11.522145	211392346	      	  	mult 	33.30219	5.29	25.713	25.25	133.255416	11.522145	N16	H16	EPIC 211392346
132.72106806	11.52225194	211392354	S711  	BM	mult 	6.463573	8.2	1.18	1.171	132.721068	11.522252	N16	H16	EPIC 211392354
133.17149389	11.52239306	211392361	      	  	rot  	32.491882	1.96	22.269	19.138	133.171494	11.522393	N16	H16	EPIC 211392361
133.21220694	11.52296111	211392395	      	N 	rot  	20.104904	4.27	10.542	10.249	133.212207	11.522961	N16	H16	EPIC 211392395
132.80972389	11.52388194	211392455	      	M 	rot  	26.731054	1.61	12.854	10.08	132.809724	11.523882	N16	H16	EPIC 211392455
132.88433806	11.52594194	211392568	      	  	rot  	28.224234	1.49	22.182	16.469	132.884338	11.525942	N16	H16	EPIC 211392568
133.0236	11.52800806	211392687	      	  	none 	25.319159	2	4.304	3.728	133.0236	11.528008	N16	H16	EPIC 211392687
132.89841	11.529765	211392789	S1179 	BM	rot  	29.057743	2.19	0.83	0.738	132.89841	11.529765	N16	H16	EPIC 211392789
133.04569389	11.53033194	211392837	S1402 	SM	none 	0.237139	14.85	0.582	0.581	133.045694	11.530332	N16	H16	EPIC 211392837
132.38684	11.53056194	211392855	S232  	N 	rot  	25.64916	4.48	0.214	0.209	132.38684	11.530562	N16	H16	EPIC 211392855
132.64323889	11.53063694	211392859	      	M 	rot  	23.879976	2.79	8.082	7.546	132.643239	11.530637	N16	H16	EPIC 211392859
132.98503389	11.53082	211392870	S1403 	SN	rot  	31.242983	3.06	0.446	0.422	132.985034	11.53082	N16	H16	EPIC 211392870
133.09594	11.53128	211392899	      	M 	rot  	30.394615	6.66	10.378	10.261	133.09594	11.53128	N16	H16	EPIC 211392899
132.38163194	11.53274111	211392983	      	N 	mult 	18.982153	2.04	1.898	1.654	132.381632	11.532741	N16	H16	EPIC 211392983
133.08552694	11.53412611	211393067	      	M 	rot  	4.859179	20.5	25.11	25.08	133.085527	11.534126	N16	H16	EPIC 211393067
132.92650111	11.53530306	211393129	S1181 	SM	rot  	12.125143	2.59	0.343	0.316	132.926501	11.535303	N16	H16	EPIC 211393129
132.548815	11.54026194	211393420	S463  	SN	rot  	13.033594	2.43	0.609	0.555	132.548815	11.540262	N16	H16	EPIC 211393420
132.80519889	11.54029611	211393422	      	M 	rot  	29.035177	2.43	5.115	4.662	132.805199	11.540296	N16	H16	EPIC 211393422
132.85807111	11.55000806	211394056	S926  	SM	none 	18.276964	2.58	0.257	0.237	132.858071	11.550008	N16	H16	EPIC 211394056
132.74647194	11.55150306	211394147	S713  	BN	none 	19.743944	13.94	5.18	5.166	132.746472	11.551503	N16	H16	EPIC 211394147
132.46894806	11.55177389	211394170	S350  	BN	mult 	15.029691	55.96	4.263	4.263	132.468948	11.551774	N16	H16	EPIC 211394170
132.83953694	11.55202389	211394185	F3490 	SM	mult 	24.798588	4.79	2.762	2.701	132.839537	11.552024	N16	H16	EPIC 211394185
132.88970194	11.55246111	211394218	      	N 	mult 	24.716623	2.27	3.863	3.469	132.889702	11.552461	N16	H16	EPIC 211394218
132.997525	11.55287306	211394247	      	  	rot  	26.042183	1.87	131.198	110.786	132.997525	11.552873	N16	H16
132.71263694	11.55312194	211394262	S714  	SN	mult 	27.59923	3.62	0.877	0.843	132.712637	11.553122	N16	H16	EPIC 211394262
132.76382694	11.55333889	211394279	      	M	rot  	27.763176	2.17	6.467	5.738	132.763827	11.553339	N16	H16	EPIC 211394279
132.951815	11.55438611	211394348	S1182 	BN	none 	25.165787	6.31	0.392	0.387	132.951815	11.554386	N16	H16	EPIC 211394348
132.69443806	11.55461611	211394364	      	  	rot  	25.353495	1.42	18.425	13.09	132.694438	11.554616	N16	H16	EPIC 211394364
132.95800694	11.55513611	211394397	S1183 	SM	none 	29.171095	2.5	0.252	0.231	132.958007	11.555136	N16	H16	EPIC 211394397
132.636015	11.55528306	211394411	      	N 	mult 	31.190857	5.13	28.584	28.036	132.636015	11.555283	N16	H16	EPIC 211394411
132.65046306	11.55661611	211394499	      	N 	rot  	21.804976	1.79	8.356	6.928	132.650463	11.556616	N16	H16	EPIC 211394499
132.762225	11.55707306	211394534	F2926 	M 	rot  	31.666346	2.89	1.926	1.807	132.762225	11.557073	N16	H16	EPIC 211394534
132.53756194	11.55723	211394537	S465  	SM	rot  	19.079012	2.14	0.516	0.456	132.537562	11.55723	N16	H16	EPIC 211394537
132.67480306	11.55731694	211394542	      	M 	rot  	26.711956	1.96	5.548	4.77	132.674803	11.557317	N16	H16	EPIC 211394542
132.80851694	11.55848306	211394607	S927  	SM	rot  	10.289683	2.94	0.41	0.386	132.808517	11.558483	N16	H16	EPIC 211394607
132.78871611	11.55916	211394644	S928  	SM	rot  	14.999545	3.02	1.032	0.973	132.788716	11.55916	N16	H16	EPIC 211394644
132.47531889	11.56205889	211394826	      	N 	rot  	24.018032	5.05	4.462	4.374	132.475319	11.562059	N16	H16	EPIC 211394826
133.01772806	11.56354389	211394919	      	M 	mult 	29.40047	5.84	22.865	22.527	133.017728	11.563544	N16	H16	EPIC 211394919
132.59232889	11.56496194	211395027	      	  	mult 	26.597944	4.66	32.066	31.32	132.592329	11.564962	N16	H16	EPIC 211395027
132.44856694	11.56505611	211395034	      	N 	mult 	30.256964	4.48	2.843	2.771	132.448567	11.565056	N16	H16	EPIC 211395034
132.48752889	11.565085	211395037	S352  	SM	rot  	40.652348	2.73	1.283	1.194	132.487529	11.565085	N16	H16	EPIC 211395037
133.28104611	11.56619111	211395104	S1789 	SN	mult 	19.827705	6.4	1.19	1.175	133.281046	11.566191	N16	H16	EPIC 211395104
132.75768306	11.56697111	211395150	S715  	SN	mult 	35.281925	3.28	0.696	0.663	132.757683	11.566971	N16	H16	EPIC 211395150
132.78042806	11.56745194	211395187	      	M 	rot  	27.35691	1.65	10.188	8.098	132.780428	11.567452	N16	H16	EPIC 211395187
133.02080694	11.56882111	211395281	      	M 	rot  	15.606852	2.15	8.781	7.771	133.020807	11.568821	N16	H16	EPIC 211395281
133.06622694	11.57023694	211395370	      	N 	rot  	24.964159	2.37	14.371	13.028	133.066227	11.570237	N16	H16	EPIC 211395370
132.90299194	11.57069806	211395390	      	N 	none 	29.03518	1.41	27.812	19.66	132.902992	11.570698	N16	H16	EPIC 211395390
132.65000111	11.57092111	211395397	      	N 	rot  	25.336315	1.49	7.542	5.595	132.650001	11.570921	N16	H16	EPIC 211395397
132.59372889	11.57238611	211395485	S588  	SN	rot  	23.653376	2.25	0.55	0.493	132.593729	11.572386	N16	H16	EPIC 211395485
132.61454194	11.57246889	211395492	      	M 	rot  	27.33691	1.7	11.078	8.95	132.614542	11.572469	N16	H16	EPIC 211395492
133.03721	11.57346889	211395555	F4831 	M 	rot  	24.378206	2.92	2.093	1.967	133.03721	11.573469	N16	H16	EPIC 211395555
132.67970889	11.57410889	211395586	      	  	rot  	25.91583	2.45	20.407	18.636	132.679709	11.574109	N16	H16	EPIC 211395586
132.90971889	11.57436306	211395606	      	M 	rot  	26.654829	2.26	3.137	2.814	132.909719	11.574363	N16	H16	EPIC 211395606
132.41101111	11.57440889	211395609	      	N 	rot  	17.288221	1.99	1.699	1.469	132.411011	11.574409	N16	H16	EPIC 211395609
132.64501194	11.57454194	211395620	F2181 	SM	rot  	30.553661	3.67	3.259	3.136	132.645012	11.574542	N16	H16	EPIC 211395620
133.1322	11.574625	211395630	S1576 	SN	mult 	14.664229	4.18	0.255	0.247	133.1322	11.574625	N16	H16	EPIC 211395630
132.87314	11.57467194	211395634	      	  	mult 	28.833662	1.46	15.769	11.471	132.87314	11.574672	N16	H16	EPIC 211395634
132.89780306	11.57558194	211395699	S1184 	SM	mult 	23.83431	7.46	2.332	2.311	132.897803	11.575582	N16	H16	EPIC 211395699
132.86750611	11.5765	211395765	      	  	rot  	26.962366	1.83	18.773	15.717	132.867506	11.5765	N16	H16	EPIC 211395765
132.77324194	11.57859194	211395887	S717  	N 	rot  	29.846375	2.21	2.033	1.812	132.773242	11.578592	N16	H16	EPIC 211395887
132.61402694	11.57864889	211395891	      	M 	rot  	29.012648	2.33	4.521	4.084	132.614027	11.578649	N16	H16	EPIC 211395891
132.52619111	11.57873111	211395900	      	  	mult 	26.692886	2.09	24.64	21.634	132.526191	11.578731	N16	H16	EPIC 211395900
133.14418111	11.57894306	211395912	      	M 	mult 	25.081383	2.18	9.046	8.04	133.144181	11.578943	N16	H16	EPIC 211395912
132.94960694	11.57932111	211395938	S1185 	SN	mult 	23.46044	7.98	1.385	1.374	132.949607	11.579321	N16	H16	EPIC 211395938
132.78163889	11.579455	211395947	      	N 	rot  	27.804466	1.59	30.731	23.879	132.781639	11.579455	N16	H16	EPIC 211395947
132.76094389	11.57970194	211395962	S718  	SN	rot  	22.774527	2.74	0.713	0.664	132.760944	11.579702	N16	H16	EPIC 211395962
133.27229194	11.579905	211395971	S1792 	SM	mult 	20.468094	3.06	0.294	0.278	133.272292	11.579905	N16	H16	EPIC 211395971
132.46286806	11.58024111	211395992	      	M 	rot  	36.169304	2.29	4.791	4.309	132.462868	11.580241	N16	H16	EPIC 211395992
132.84982111	11.58065194	211396025	S929  	BM	rot  	26.169773	2.24	0.487	0.435	132.849821	11.580652	N16	H16	EPIC 211396025
132.86626806	11.58257889	211396155	S931  	SM	rot  	26.07603	2.68	1.014	0.941	132.866268	11.582579	N16	H16	EPIC 211396155
132.73947889	11.58261889	211396156	S719  	M 	mult 	13.047238	3.27	1.974	1.88	132.739479	11.582619	N16	H16	EPIC 211396156
132.45674306	11.58269694	211396162	      	  	rot  	19.77527	1.53	23.418	17.693	132.456743	11.582697	N16	H16	EPIC 211396162
132.60539389	11.58345806	211396214	S589  	SN	mult 	12.552287	2.75	0.797	0.743	132.605394	11.583458	N16	H16	EPIC 211396214
132.711385	11.58409111	211396255	S720  	SN	rot  	21.553587	3.17	0.364	0.345	132.711385	11.584091	N16	H16	EPIC 211396255
132.83915306	11.58436889	211396273	      	N 	mult 	0.245249	2.85	15.697	14.698	132.839153	11.584369	N16	H16	EPIC 211396273
133.17047389	11.58459	211396289	      	  	rot  	28.833662	1.97	20.933	18.025	133.170474	11.58459	N16	H16	EPIC 211396289
132.79512694	11.58482889	211396316	S933  	SN	rot  	28.438908	2.37	1.858	1.685	132.795127	11.584829	N16	H16	EPIC 211396316
133.12058306	11.58484611	211396317	      	N 	mult 	20.740585	2.11	7.104	6.258	133.120583	11.584846	N16	H16	EPIC 211396317
133.13457611	11.585425	211396358	      	  	mult 	29.656988	1.99	31.716	27.428	133.134576	11.585425	N16	H16	EPIC 211396358
132.85099111	11.58576111	211396381	      	N 	mult 	32.073803	3.01	3.296	3.108	132.850991	11.585761	N16	H16	EPIC 211396381
132.70686889	11.585815	211396385	S721  	BM	none 	0.823667	10.05	0.474	0.472	132.706869	11.585815	N16	H16	EPIC 211396385
132.80720611	11.58640389	211396420	      	N 	mult 	12.815256	3.53	6.251	5.995	132.807206	11.586404	N16	H16
132.87471611	11.58642694	211396422	S1186 	SM	mult 	33.21344	2.65	0.264	0.244	132.874716	11.586427	N16	H16	Cl* NGC 2682 SAND 1186
132.74107194	11.58744	211396493	S722  	SM	mult 	34.37373	3.62	0.782	0.751	132.741072	11.58744	N16	H16	EPIC 211396493
133.11588611	11.58821	211396548	      	N 	mult 	23.328703	2.51	4.693	4.305	133.115886	11.58821	N16	H16	EPIC 211396548
132.82855889	11.588225	211396551	S935  	SM	mult 	24.732971	4.7	4.003	3.911	132.828559	11.588225	N16	H16	EPIC 211396551
132.72817306	11.58857389	211396570	      	M 	mult 	14.892011	3.04	4.167	3.935	132.728173	11.588574	N16	H16	EPIC 211396570
133.07530194	11.58981194	211396661	      	M 	none 	21.232597	2.95	9.207	8.662	133.075302	11.589812	N16	H16	EPIC 211396661
132.94275306	11.590355	211396700	      	N 	rot  	27.35691	1.6	14.229	11.108	132.942753	11.590355	N16	H16	EPIC 211396700
132.45828694	11.59048	211396714	S353  	BN	mult 	11.327767	10.41	0.353	0.351	132.458287	11.59048	N16	H16	EPIC 211396714
133.15960694	11.59155111	211396773	      	N 	mult 	12.531254	1.94	1.155	0.989	133.159607	11.591551	N16	H16	EPIC 211396773
132.830725	11.59186111	211396798	S936  	BN	rot  	26.597946	2.09	1.9	1.668	132.830725	11.591861	N16	H16	EPIC 211396798
132.43461806	11.59233	211396825	S355  	SN	mult 	44.79183	6.73	2.204	2.18	132.434618	11.59233	N16	H16	EPIC 211396825
132.98020694	11.59264	211396846	S1406 	SM	rot  	18.161554	2.25	0.494	0.443	132.980207	11.59264	N16	H16	EPIC 211396846
132.40905806	11.593155	211396891	      	M 	rot  	28.245554	2.3	4.523	4.074	132.409058	11.593155	N16	H16	EPIC 211396891
132.73196194	11.59318111	211396893	S723  	SM	rot  	27.099155	3.51	0.895	0.858	132.731962	11.593181	N16	H16	EPIC 211396893
132.37602389	11.59325306	211396899	      	N 	rot  	26.410072	3.44	1.077	1.03	132.376024	11.593253	N16	H16	EPIC 211396899
132.53878611	11.59500806	211397013	      	M 	rot  	26.07851	2.05	3.86	3.37	132.538786	11.595008	N16	H16	EPIC 211397013
132.75722	11.59600694	211397075	      	N 	rot  	28.900522	2.54	4.02	3.696	132.75722	11.596007	N16	H16	EPIC 211397075
132.68162	11.59682194	211397125	S590  	SN	mult 	25.353495	6.79	0.373	0.369	132.68162	11.596822	N16	H16	EPIC 211397125
132.77970611	11.59683611	211397127	S937  	SM	mult 	27.991806	19.93	4.804	4.798	132.779706	11.596836	N16	H16	EPIC 211397127
132.77724806	11.59971	211397319	S724  	SM	rot  	24.425982	2.75	0.786	0.732	132.777248	11.59971	N16	H16	EPIC 211397319
132.892435	11.59991111	211397333	S1187 	SN	rot  	16.753717	7.57	2.786	2.762	132.892435	11.599911	N16	H16	EPIC 211397333
132.54431806	11.60237	211397488	      	N 	rot  	10.975308	1.82	2.325	1.941	132.544318	11.60237	N16	H16	EPIC 211397488
132.83470306	11.60260806	211397501	      	M 	rot  	12.423001	4.19	4.597	4.464	132.834703	11.602608	N16	H16	EPIC 211397501
132.87728889	11.60278611	211397512	M5862 	SM	rot  	16.612288	3.22	2.566	2.438	132.877289	11.602786	N16	H16	EPIC 211397512
132.90657889	11.60300611	211397528	M6003 	N 	rot  	32.80547	2.88	3.304	3.099	132.906579	11.603006	N16	H16	EPIC 211397528
132.88399389	11.60347306	211397558	S1189 	SM	mult 	11.082663	3.4	0.474	0.453	132.883994	11.603473	N16	H16	EPIC 211397558
132.94201389	11.60508694	211397684	BN1458	BN	mult 	44.79183	7.98	0.335	0.332	132.942014	11.605087	N16	H16	EPIC 211397684
133.14614306	11.60747889	211397833	      	M 	mult 	21.271563	3.48	6.379	6.11	133.146143	11.607479	N16	H16	EPIC 211397833
132.44932889	11.60752194	211397837	      	M 	rot  	7.493391	5.24	14.354	14.091	132.449329	11.607522	N16	H16	EPIC 211397837
132.92945694	11.60800806	211397877	S1191 	SM	mult 	29.102978	2.53	0.588	0.54	132.929457	11.608008	N16	H16	EPIC 211397877
133.08039694	11.60954	211397955	      	M 	rot  	14.516207	3.06	3.508	3.315	133.080397	11.60954	N16	H16	EPIC 211397955
133.181175	11.610515	211398025	S1698 	SM	rot  	14.5501	5.18	2.4	2.355	133.181175	11.610515	N16	H16	EPIC 211398025
132.94740389	11.61214389	211398141	M6137 	N 	rot  	29.262415	2.17	1.988	1.764	132.947404	11.612144	N16	H16	EPIC 211398141
133.28411389	11.612215	211398143	S1796 	SN	rot  	18.384808	2.14	0.338	0.299	133.284114	11.612215	N16	H16	EPIC 211398143
132.72623889	11.61230806	211398149	S726  	SN	mult 	36.064644	4.39	1.999	1.946	132.726239	11.612308	N16	H16	EPIC 211398149
132.49241111	11.61290111	211398182	S356  	SN	mult 	21.491642	4.44	0.798	0.778	132.492411	11.612901	N16	H16	EPIC 211398182
133.09264611	11.61302306	211398194	      	M 	rot  	12.410631	2.05	2.673	2.332	133.092646	11.613023	N16	H16	EPIC 211398194
132.92747889	11.61369889	211398233	      	M 	mult 	32.605217	4.11	4.664	4.523	132.927479	11.613699	N16	H16	EPIC 211398233
133.18112694	11.61378806	211398238	S1699 	SN	mult 	12.863207	3.03	0.564	0.532	133.181127	11.613788	N16	H16	EPIC 211398238
132.90424	11.61434111	211398269	S1193 	SM	mult 	33.601463	4.59	1.487	1.451	132.90424	11.614341	N16	H16	EPIC 211398269
132.78091194	11.61487111	211398314	S939  	BM	rot  	26.114939	3.07	0.457	0.432	132.780912	11.614871	N16	H16	EPIC 211398314
